,none,undersampling,oversampling,hybrid,avg
2+14,0.2718,0.2195,0.4739,0.6307,0.3990
4+12,0.2334,0.2300,0.4355,0.6411,0.3850
6+10,0.2056,0.2334,0.4564,0.5958,0.3728
8+8,0.2578,0.2544,0.4530,0.6341,0.3998
10+6,0.1951,0.2474,0.4495,0.6028,0.3737
12+4,0.2544,0.2648,0.4564,0.6237,0.3998
14+2,0.1777,0.2509,0.5192,0.6829,0.4077
avg,0.2280,0.2429,0.4634,0.6302,0.3911
