fs,ensemble,sampling,n_splits,AUC_mean,AUC_std,F1_mean,F1_std,G_Mean_mean,G_Mean_std,Recall_mean,Recall_std,Precision_mean,Precision_std,Type1_Error_mean,Type1_Error_std,Type2_Error_mean,Type2_Error_std
kbest_chi2_r20,All_6,ensemble,15,0.7222,0.0243,0.1402,0.0255,0.5623,0.0459,0.3517,0.0679,0.0895,0.0217,0.0915,0.0311,0.6483,0.0679
kbest_chi2_r20,New,hybrid,15,0.7401,0.0127,0.1527,0.0207,0.6039,0.0398,0.4077,0.0681,0.0954,0.0172,0.0973,0.0332,0.5923,0.0681
kbest_chi2_r20,New,over,15,0.7155,0.0152,0.1501,0.0231,0.5702,0.0333,0.3584,0.0543,0.0970,0.0210,0.0859,0.0331,0.6416,0.0543
kbest_chi2_r20,New,under,15,0.7337,0.0110,0.1489,0.0187,0.5831,0.0399,0.3793,0.0690,0.0946,0.0164,0.0934,0.0409,0.6207,0.0690
kbest_chi2_r20,New_3,ensemble,15,0.7480,0.0140,0.1544,0.0214,0.6013,0.0444,0.4044,0.0754,0.0974,0.0187,0.0957,0.0371,0.5956,0.0754
kbest_chi2_r20,Old,hybrid,15,0.6301,0.0415,0.0960,0.0233,0.5008,0.0430,0.2859,0.0492,0.0582,0.0161,0.1164,0.0282,0.7141,0.0492
kbest_chi2_r20,Old,over,15,0.6087,0.0420,0.0940,0.0219,0.4860,0.0442,0.2713,0.0549,0.0578,0.0151,0.1165,0.0580,0.7287,0.0549
kbest_chi2_r20,Old,under,15,0.6209,0.0541,0.0951,0.0306,0.4857,0.0501,0.2695,0.0538,0.0585,0.0209,0.1149,0.0466,0.7305,0.0538
kbest_chi2_r20,Old_3,ensemble,15,0.6292,0.0466,0.1012,0.0264,0.4881,0.0412,0.2692,0.0505,0.0635,0.0193,0.1048,0.0480,0.7308,0.0505
kbest_chi2_r20,Old_hybrid_New_hybrid,ensemble,15,0.7171,0.0240,0.1236,0.0226,0.5854,0.0558,0.4014,0.0952,0.0746,0.0169,0.1286,0.0565,0.5986,0.0952
kbest_chi2_r20,Old_under_New_under,ensemble,15,0.7146,0.0240,0.1230,0.0209,0.5688,0.0593,0.3728,0.0908,0.0751,0.0161,0.1158,0.0418,0.6272,0.0908
kbest_chi2_r50,All_6,ensemble,15,0.7902,0.0254,0.1618,0.0234,0.6425,0.0441,0.4639,0.0675,0.0988,0.0167,0.1045,0.0254,0.5361,0.0675
kbest_chi2_r50,New,hybrid,15,0.7941,0.0152,0.1742,0.0189,0.6702,0.0272,0.5041,0.0542,0.1062,0.0153,0.1051,0.0285,0.4959,0.0542
kbest_chi2_r50,New,over,15,0.7726,0.0154,0.1591,0.0156,0.6405,0.0273,0.4604,0.0506,0.0969,0.0127,0.1053,0.0234,0.5396,0.0506
kbest_chi2_r50,New,under,15,0.8185,0.0190,0.1952,0.0263,0.6843,0.0242,0.5182,0.0476,0.1214,0.0212,0.0937,0.0261,0.4818,0.0476
kbest_chi2_r50,New_3,ensemble,15,0.8148,0.0147,0.1852,0.0186,0.6845,0.0225,0.5217,0.0413,0.1132,0.0149,0.0999,0.0186,0.4783,0.0413
kbest_chi2_r50,Old,hybrid,15,0.6706,0.0622,0.1097,0.0330,0.5124,0.0511,0.2966,0.0576,0.0682,0.0229,0.1063,0.0400,0.7034,0.0576
kbest_chi2_r50,Old,over,15,0.6385,0.0659,0.0908,0.0271,0.4835,0.0630,0.2718,0.0722,0.0554,0.0180,0.1210,0.0533,0.7282,0.0722
