split,fs,ensemble,AUC,F1,Recall
split_1+15,no_fs,Old_3,0.5633958981166659,0.05917159763313609,0.313588850174216
split_1+15,no_fs,New_3,0.8365856563347389,0.15582115980522354,0.6132404181184669
split_1+15,no_fs,All_6,0.7957644953690053,0.13140009062075214,0.5052264808362369
split_1+15,mutual_info_r50,Old_3,0.5575822097767218,0.04679708477176832,0.21254355400696864
split_1+15,mutual_info_r50,New_3,0.7987288547928654,0.1733430444282593,0.4146341463414634
split_1+15,mutual_info_r50,All_6,0.7568484545680328,0.11746031746031746,0.5156794425087108
split_1+15,mutual_info_r80,Old_3,0.5415369063474473,0.051749630359783146,0.36585365853658536
split_1+15,mutual_info_r80,New_3,0.8389154598388119,0.16597125637459434,0.6236933797909407
split_1+15,mutual_info_r80,All_6,0.7928733371773664,0.13553113553113552,0.5156794425087108
split_1+15,shap_r50,Old_3,0.5612771291173877,0.05737483085250338,0.3693379790940767
split_1+15,shap_r50,New_3,0.819818071699445,0.18103975535168196,0.5156794425087108
split_1+15,shap_r50,All_6,0.7759077896858882,0.1203576341127923,0.6097560975609756
split_1+15,shap_r80,Old_3,0.5487361894401412,0.056022408963585436,0.24390243902439024
split_1+15,shap_r80,New_3,0.8237680334285628,0.17396825396825397,0.47735191637630664
split_1+15,shap_r80,All_6,0.7784250987272572,0.12319178721418572,0.45993031358885017
split_2+14,no_fs,Old_3,0.6115007269289032,0.06612213146635551,0.2961672473867596
split_2+14,no_fs,New_3,0.833463420443768,0.18459729570840683,0.5470383275261324
split_2+14,no_fs,All_6,0.797636645931159,0.13297634984381973,0.519163763066202
split_2+14,mutual_info_r50,Old_3,0.538142925405911,0.04921259842519685,0.17421602787456447
split_2+14,mutual_info_r50,New_3,0.8330480324990233,0.14995990376904572,0.6515679442508711
split_2+14,mutual_info_r50,All_6,0.7760861450691562,0.12429378531073447,0.5749128919860628
split_2+14,mutual_info_r80,Old_3,0.579881861344666,0.058714232627276104,0.27526132404181186
split_2+14,mutual_info_r80,New_3,0.8441600957425641,0.15528677331252438,0.6933797909407665
split_2+14,mutual_info_r80,All_6,0.798532199101542,0.13704888076747374,0.5226480836236934
split_2+14,shap_r50,Old_3,0.5357107273210527,0.04595588235294118,0.17421602787456447
split_2+14,shap_r50,New_3,0.8382441580623751,0.19053549190535493,0.5331010452961672
split_2+14,shap_r50,All_6,0.7805499678292204,0.13029897367246765,0.5087108013937283
split_2+14,shap_r80,Old_3,0.5766133682297937,0.05437553101104503,0.2229965156794425
split_2+14,shap_r80,New_3,0.8446292226871535,0.1797509474824039,0.578397212543554
split_2+14,shap_r80,All_6,0.8002024653129279,0.13496376811594202,0.519163763066202
split_3+13,no_fs,Old_3,0.5959148193280301,0.056137977680081164,0.289198606271777
split_3+13,no_fs,New_3,0.8352925798060458,0.1817095038852361,0.5296167247386759
split_3+13,no_fs,All_6,0.7855744190741496,0.127809607756721,0.5052264808362369
split_3+13,mutual_info_r50,Old_3,0.571758267454645,0.05084745762711865,0.17770034843205576
split_3+13,mutual_info_r50,New_3,0.78452636333664,0.16955223880597015,0.49477351916376305
split_3+13,mutual_info_r50,All_6,0.7338403196453809,0.10567514677103718,0.37630662020905925
