split,No_FS_AUC,MI_FS_AUC,Diff
split_1+7,0.6398309987687604,0.6347192430005058,-0.005111755768254622
split_2+6,0.6457327251280429,0.6496086737613801,0.0038759486333371784
split_3+5,0.649055399999117,0.6459447068291044,-0.0031106931700125573
split_4+4,0.6521824345882681,0.648366345283732,-0.00381608930453603
split_5+3,0.6536008520070842,0.6502540836927304,-0.003346768314353765
split_6+2,0.6556001129892409,0.6573847152210829,0.0017846022318419585
split_7+1,0.6515904007052997,0.6498883556274443,-0.0017020450778554297
