split,fs,AUC,F1,Recall
split_1+7,rfe_r80,0.6308706992315626,0.2331511839708561,0.38394093216428243
split_2+6,rfe_r80,0.6441312153027139,0.25489379425239483,0.42362713428703275
split_3+5,rfe_r80,0.6506317125741282,0.25370121130551815,0.5219197046608214
split_4+4,rfe_r80,0.6514873406527666,0.2505050505050505,0.5722196585140747
split_5+3,rfe_r80,0.6483625136776917,0.25320677270395076,0.45546838947854174
split_6+2,rfe_r80,0.6495711189472106,0.25640433879529195,0.5126903553299492
split_7+1,rfe_r80,0.6468819278165007,0.25038025038025036,0.49377018920166127
