fs,ensemble,sampling,n_splits,AUC_mean,AUC_std,F1_mean,F1_std,G_Mean_mean,G_Mean_std,Recall_mean,Recall_std,Precision_mean,Precision_std,Type1_Error_mean,Type1_Error_std,Type2_Error_mean,Type2_Error_std
mutual_info_r50,All_6,ensemble,15,0.809,0.0372,0.1555,0.027,0.6701,0.0571,0.518,0.0901,0.092,0.0173,0.1254,0.0279,0.482,0.0901
mutual_info_r50,New,hybrid,15,0.8292,0.0254,0.1708,0.0247,0.708,0.0404,0.5828,0.0946,0.1015,0.0193,0.1311,0.046,0.4172,0.0946
mutual_info_r50,New,over,15,0.7993,0.0259,0.154,0.0214,0.6821,0.0413,0.5447,0.087,0.0909,0.0164,0.1372,0.043,0.4553,0.087
mutual_info_r50,New,under,15,0.8342,0.0256,0.1918,0.0224,0.6953,0.0475,0.5405,0.0836,0.1175,0.0174,0.0992,0.0221,0.4595,0.0836
mutual_info_r50,New_3,ensemble,15,0.8414,0.0246,0.1898,0.0333,0.704,0.0353,0.56,0.072,0.1163,0.0274,0.1092,0.036,0.44,0.072
mutual_info_r50,Old,hybrid,15,0.6711,0.0898,0.1041,0.0448,0.5462,0.0996,0.3563,0.1172,0.0614,0.0281,0.1395,0.0342,0.6437,0.1172
mutual_info_r50,Old,over,15,0.632,0.0809,0.0899,0.0339,0.5153,0.0953,0.3247,0.1062,0.0528,0.0204,0.1516,0.0698,0.6753,0.1062
mutual_info_r50,Old,under,15,0.6552,0.0943,0.1031,0.0451,0.5169,0.0982,0.3143,0.112,0.0623,0.0286,0.1235,0.043,0.6857,0.112
mutual_info_r50,Old_3,ensemble,15,0.6701,0.0929,0.1045,0.0422,0.5273,0.1053,0.3285,0.1274,0.0626,0.0261,0.1224,0.029,0.6715,0.1274
mutual_info_r50,Old_hybrid_New_hybrid,ensemble,15,0.7977,0.0402,0.1358,0.0228,0.6805,0.0695,0.5587,0.117,0.0776,0.0134,0.16,0.0279,0.4413,0.117
