method,AUC_mean,AUC_std,AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,F1_mean,F1_std,F1_count,G_Mean_mean,G_Mean_std,G_Mean_count,Recall_mean,Recall_std,Recall_count,Precision_mean,Precision_std,Precision_count,Balanced_Accuracy_mean,Balanced_Accuracy_std,Balanced_Accuracy_count,Type1_Error_mean,Type1_Error_std,Type1_Error_count,Type2_Error_mean,Type2_Error_std,Type2_Error_count,Recall_at_5pctFPR_mean,Recall_at_5pctFPR_std,Recall_at_5pctFPR_count,Precision_at_5pctFPR_mean,Precision_at_5pctFPR_std,Precision_at_5pctFPR_count,Realized_FPR_at_5pctFPR_mean,Realized_FPR_at_5pctFPR_std,Realized_FPR_at_5pctFPR_count
B_data_equal,0.855103456026,,1,0.112485433494,,1,0.188948306595,,1,0.426833244213,,1,0.18339100346,,1,0.194852941176,,1,0.588411848028,,1,0.00656730740396,,1,0.81660899654,,1,0.363321799308,,1,0.0812693498452,,1,0.0355954058836,,1
B_model_FIFO3_equal,0.857583408104,,1,0.117550275496,,1,0.192109777015,,1,0.438621321758,,1,0.193771626298,,1,0.190476190476,,1,0.593317276249,,1,0.00713707379974,,1,0.806228373702,,1,0.429065743945,,1,0.0817402768622,,1,0.041772873122,,1
Recent3y,0.839085767223,,1,0.0954185857507,,1,0.174342105263,,1,0.426530354166,,1,0.18339100346,,1,0.166144200627,,1,0.58770713696,,1,0.00797672954089,,1,0.81660899654,,1,0.391003460208,,1,0.0789106145251,,1,0.039553782949,,1
