split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_8+8,Old,none,0.681095,0.087506,0.535099,0.337979,0.050259,0.152814,0.662021,0.714003,"{""d_block"": 256, ""dropout"": 0.2, ""k"": 24, ""lr"": 0.0005, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_8+8,Old,undersampling,0.668269,0.070547,0.606174,0.557491,0.037656,0.340892,0.442509,0.698895,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_8+8,Old,oversampling,0.607095,0.071239,0.451365,0.233449,0.042033,0.127303,0.766551,0.767501,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.0005, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_8+8,Old,hybrid,0.654911,0.073718,0.458293,0.240418,0.043533,0.126386,0.759582,0.786748,"{""d_block"": 512, ""d_embedding"": 8, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_8+8,New,none,0.804485,0.247375,0.595862,0.369338,0.185965,0.038683,0.630662,0.785607,"{""d_block"": 512, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.001, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_8+8,New,undersampling,0.783534,0.182752,0.542812,0.310105,0.129549,0.049854,0.689895,0.788583,"{""d_block"": 128, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_8+8,New,oversampling,0.823276,0.206406,0.616349,0.404181,0.138590,0.060108,0.595819,0.842006,"{""d_block"": 384, ""d_embedding"": 8, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_8+8,New,hybrid,0.843280,0.188727,0.685341,0.519164,0.115325,0.095290,0.480836,0.847227,"{""d_block"": 256, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
