new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1193,0.1377,0.0549,0.1047,0.1042
14yr,0.1962,0.1736,0.0967,0.1244,0.1477
13yr,0.1480,0.0864,0.0940,0.1037,0.1080
12yr,0.1408,0.1642,0.1121,0.1387,0.1390
11yr,0.0942,0.0652,0.1720,0.0883,0.1049
10yr,0.0864,0.0532,0.0674,0.0756,0.0706
9yr,0.1321,0.0802,0.0758,0.0569,0.0863
8yr,0.1127,0.0395,0.0651,0.0548,0.0680
7yr,0.0323,0.0732,0.0507,0.0653,0.0554
6yr,0.0704,0.0606,0.0492,0.0464,0.0566
5yr,0.0798,0.0421,0.0535,0.0565,0.0580
4yr,0.0450,0.0414,0.0903,0.0392,0.0540
3yr,0.0468,0.0593,0.0660,0.0900,0.0655
2yr,0.0338,0.0287,0.0240,0.0368,0.0308
1yr,0.0449,0.0444,0.0394,0.0877,0.0541
avg,0.0922,0.0766,0.0741,0.0779,0.0802
