old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0533,0.0593,0.0388,0.0367,0.0470
2yr,0.0578,0.0670,0.0466,0.0522,0.0559
3yr,0.0716,0.0638,0.0438,0.0489,0.0570
4yr,0.0658,0.0748,0.0590,0.0599,0.0649
5yr,0.0625,0.0558,0.0596,0.0656,0.0609
6yr,0.0798,0.0702,0.0572,0.0492,0.0641
7yr,0.0723,0.0729,0.0539,0.0566,0.0639
8yr,0.0904,0.0737,0.0683,0.0758,0.0770
9yr,0.1036,0.0838,0.0802,0.0816,0.0873
10yr,0.0817,0.1038,0.0975,0.1018,0.0962
11yr,0.0969,0.0955,0.0996,0.0975,0.0974
12yr,0.1116,0.1146,0.0960,0.1166,0.1097
13yr,0.1133,0.1255,0.1165,0.1226,0.1195
14yr,0.1210,0.1256,0.1194,0.1404,0.1266
15yr,0.1213,0.1449,0.1586,0.1442,0.1422
avg,0.0869,0.0888,0.0797,0.0833,0.0846
