old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5853,0.6428,0.4524,0.4880,0.5421
2yr,0.5785,0.6556,0.4805,0.5341,0.5622
3yr,0.5908,0.6530,0.5133,0.5428,0.5750
4yr,0.6207,0.6261,0.5220,0.5660,0.5837
5yr,0.6341,0.6368,0.5626,0.5885,0.6055
6yr,0.6669,0.6178,0.5670,0.5841,0.6090
7yr,0.6335,0.6313,0.6082,0.6003,0.6183
8yr,0.6842,0.6716,0.6067,0.6406,0.6508
9yr,0.7031,0.6810,0.6635,0.6552,0.6757
10yr,0.7277,0.7313,0.6809,0.7057,0.7114
11yr,0.7604,0.7557,0.7037,0.7283,0.7370
12yr,0.7553,0.7605,0.6850,0.7369,0.7344
13yr,0.7714,0.7708,0.7395,0.7513,0.7582
14yr,0.7654,0.7732,0.7450,0.7709,0.7636
15yr,0.7689,0.7773,0.7657,0.7868,0.7747
avg,0.6831,0.6923,0.6197,0.6453,0.6601
