new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5226,0.4530,0.7247,0.5505,0.5627
14yr,0.3937,0.4181,0.6690,0.5366,0.5044
13yr,0.4355,0.5714,0.5784,0.4808,0.5166
12yr,0.4425,0.4146,0.5366,0.4390,0.4582
11yr,0.5052,0.5436,0.4042,0.4704,0.4808
10yr,0.5226,0.5714,0.5958,0.4843,0.5436
9yr,0.4355,0.5157,0.5923,0.5888,0.5331
8yr,0.4669,0.6899,0.6098,0.5958,0.5906
7yr,0.7282,0.5261,0.6132,0.5784,0.6115
6yr,0.5401,0.5714,0.6237,0.6376,0.5932
5yr,0.5087,0.6969,0.6272,0.5610,0.5984
4yr,0.6934,0.6760,0.5540,0.6655,0.6472
3yr,0.6620,0.6307,0.5679,0.4878,0.5871
2yr,0.6899,0.7491,0.7840,0.7073,0.7326
1yr,0.6934,0.6864,0.7666,0.6272,0.6934
avg,0.5494,0.5810,0.6165,0.5607,0.5769
