old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.1707,0.3171,0.4077,0.8293,0.4312
2yr,0.5436,0.3728,0.8571,0.8920,0.6664
3yr,0.7944,0.3519,0.7666,0.8153,0.6821
4yr,0.7317,0.6307,0.8258,0.7944,0.7456
5yr,0.4774,0.1254,0.8258,0.7875,0.5540
6yr,0.4878,0.7526,0.7735,0.8885,0.7256
7yr,0.7491,0.6098,0.8362,0.8153,0.7526
8yr,0.6585,0.4808,0.7003,0.7317,0.6429
9yr,0.6585,0.5296,0.7700,0.7213,0.6699
10yr,0.3972,0.6341,0.7247,0.7317,0.6220
11yr,0.4042,0.3728,0.6655,0.5819,0.5061
12yr,0.5645,0.5958,0.6864,0.6655,0.6280
13yr,0.4321,0.5854,0.6237,0.7178,0.5897
14yr,0.4774,0.4704,0.6620,0.6098,0.5549
15yr,0.4808,0.4669,0.6307,0.5366,0.5287
avg,0.5352,0.4864,0.7171,0.7412,0.6200
