new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4774,0.5470,0.2753,0.4495,0.4373
14yr,0.6063,0.5819,0.3310,0.4634,0.4956
13yr,0.5645,0.4286,0.4216,0.5192,0.4834
12yr,0.5575,0.5854,0.4634,0.5610,0.5418
11yr,0.4948,0.4564,0.5958,0.5296,0.5192
10yr,0.4774,0.4286,0.4042,0.5157,0.4564
9yr,0.5645,0.4843,0.4077,0.4112,0.4669
8yr,0.5331,0.3101,0.3902,0.4042,0.4094
7yr,0.2718,0.4739,0.3868,0.4216,0.3885
6yr,0.4599,0.4286,0.3763,0.3624,0.4068
5yr,0.4913,0.3031,0.3728,0.4390,0.4016
4yr,0.3066,0.3240,0.4460,0.3345,0.3528
3yr,0.3380,0.3693,0.4321,0.5122,0.4129
2yr,0.3101,0.2509,0.2160,0.2927,0.2674
1yr,0.3066,0.3136,0.2334,0.3728,0.3066
avg,0.4506,0.4190,0.3835,0.4393,0.4231
