new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.7815,0.8014,0.7956,0.8140,0.7981
14yr,0.8060,0.7958,0.7667,0.8061,0.7937
13yr,0.7964,0.8048,0.8126,0.8247,0.8096
12yr,0.8073,0.8108,0.7989,0.8315,0.8121
11yr,0.8098,0.7953,0.8008,0.8433,0.8123
10yr,0.8174,0.8067,0.8125,0.8489,0.8214
9yr,0.8138,0.8170,0.8092,0.8485,0.8221
8yr,0.8023,0.7712,0.8078,0.8382,0.8049
7yr,0.7804,0.8007,0.8324,0.8452,0.8147
6yr,0.8050,0.7967,0.8237,0.8448,0.8175
5yr,0.8138,0.7791,0.8141,0.8382,0.8113
4yr,0.7515,0.7709,0.8100,0.8282,0.7902
3yr,0.7722,0.7871,0.8135,0.8418,0.8036
2yr,0.7805,0.7788,0.7475,0.8082,0.7787
1yr,0.6916,0.7190,0.7281,0.7505,0.7223
avg,0.7886,0.7890,0.7982,0.8275,0.8008
