old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.7005,0.5104,0.6923,0.1946,0.5244
2yr,0.3429,0.4092,0.1195,0.0725,0.2360
3yr,0.1085,0.4467,0.2256,0.1522,0.2333
4yr,0.1647,0.2034,0.1133,0.1355,0.1542
5yr,0.3638,0.7045,0.1118,0.1260,0.3265
6yr,0.2709,0.1389,0.1602,0.0818,0.1629
7yr,0.1361,0.2228,0.1176,0.1279,0.1511
8yr,0.1487,0.3008,0.1789,0.1391,0.1919
9yr,0.1256,0.2335,0.1078,0.1328,0.1499
10yr,0.3149,0.1360,0.1045,0.0958,0.1628
11yr,0.2560,0.2754,0.1288,0.1712,0.2079
12yr,0.1525,0.1351,0.1249,0.1054,0.1295
13yr,0.2023,0.1242,0.1216,0.0795,0.1319
14yr,0.1702,0.1652,0.1035,0.0998,0.1347
15yr,0.1684,0.1394,0.0787,0.1188,0.1263
avg,0.2417,0.2764,0.1659,0.1222,0.2016
