metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6453,0.6831,0.6197,0.6923
AUC,New,0.8275,0.7886,0.7982,0.7890
AUC,Retrain,0.8046,0.7897,0.7823,0.7997
F1,Old,0.0833,0.0869,0.0797,0.0888
F1,New,0.1940,0.1803,0.1774,0.1922
F1,Retrain,0.1530,0.1560,0.1506,0.1387
G_Mean,Old,0.4666,0.5727,0.4685,0.5883
G_Mean,New,0.6332,0.6324,0.5902,0.6155
G_Mean,Retrain,0.5892,0.6328,0.5268,0.6689
Recall,Old,0.2588,0.4648,0.2829,0.5136
Recall,New,0.4393,0.4506,0.3835,0.4190
Recall,Retrain,0.3798,0.4460,0.2962,0.5226
Precision,Old,0.0501,0.0488,0.0475,0.0497
Precision,New,0.1282,0.1192,0.1204,0.1311
Precision,Retrain,0.0958,0.0945,0.1010,0.0800
