new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1477,0.1498,0.1541,0.1543,0.1515
14yr,0.1237,0.1317,0.1232,0.1391,0.1294
13yr,0.1457,0.1701,0.1577,0.1774,0.1627
12yr,0.1498,0.1386,0.1507,0.1525,0.1479
11yr,0.1822,0.2183,0.1357,0.2029,0.1848
10yr,0.1877,0.2347,0.1916,0.2206,0.2086
9yr,0.1593,0.2003,0.1782,0.2169,0.1887
8yr,0.1708,0.2094,0.1898,0.2189,0.1972
7yr,0.2074,0.2091,0.2207,0.2032,0.2101
6yr,0.2090,0.2164,0.2193,0.2196,0.2161
5yr,0.2036,0.1980,0.2066,0.2310,0.2098
4yr,0.1923,0.2123,0.1709,0.2251,0.2002
3yr,0.2053,0.1920,0.2062,0.1942,0.1994
2yr,0.2276,0.2048,0.1947,0.2069,0.2085
1yr,0.1926,0.1978,0.1622,0.1480,0.1751
avg,0.1803,0.1922,0.1774,0.1940,0.1860
