model,AUC_mean,AUC_std,F1_mean,F1_std,G_Mean_mean,G_Mean_std,Recall_mean,Recall_std,Precision_mean,Precision_std,Type1_Error_mean,Type1_Error_std,Type2_Error_mean,Type2_Error_std
lgbm,0.6196226472116045,0.02185607727038153,0.20569554423759406,0.05503708449158561,0.48006082183719295,0.14054867699458154,0.3288135593220339,0.2008599724342447,0.18021281504100375,0.03161209652175696,0.20352042871411605,0.13710390373924575,0.6711864406779662,0.20085997243424472
lr,0.6351701383684795,0.02265925012779892,0.2453939486164458,0.012320607773342644,0.5805171993790544,0.015258830395661673,0.4892655367231638,0.024049487744398593,0.16380116603080563,0.008746962558021354,0.3108911100000024,0.01317975943982137,0.5107344632768361,0.024049487744398624
rf,0.6447184291073532,0.024325832443996907,0.16764098555708298,0.07989147153915338,0.3566829140878301,0.1307703163283731,0.15141242937853108,0.10732084184768634,0.24765732807034435,0.040732575210081036,0.0622562090313226,0.047214974339891864,0.848587570621469,0.10732084184768637
xgb,0.6273146524817751,0.0058433903365321255,0.25041451122569564,0.0130557944899166,0.5561297704174558,0.020272890902911615,0.39887005649717516,0.040725019866531285,0.18307290620352787,0.011754319151037316,0.22221147465545946,0.030189983811301623,0.6011299435028249,0.04072501986653134
