old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2310,0.3749,0.3124,0.2223,0.2851
2yr,0.0975,0.1855,0.1966,0.2401,0.1799
3yr,0.0989,0.1286,0.2052,0.1890,0.1554
4yr,0.0940,0.1521,0.1384,0.1633,0.1369
5yr,0.0757,0.0669,0.1491,0.1602,0.1130
6yr,0.0798,0.0883,0.1713,0.1451,0.1211
7yr,0.0702,0.0799,0.1122,0.1656,0.1070
8yr,0.1172,0.1195,0.1767,0.1157,0.1323
9yr,0.0618,0.0949,0.1264,0.1478,0.1077
10yr,0.0863,0.0716,0.1418,0.1476,0.1118
11yr,0.0675,0.0764,0.1436,0.1032,0.0977
12yr,0.0623,0.0681,0.1030,0.1293,0.0907
13yr,0.0561,0.0623,0.1185,0.0945,0.0828
14yr,0.0633,0.0751,0.1236,0.1333,0.0988
15yr,0.0495,0.0586,0.0789,0.1003,0.0718
avg,0.0874,0.1135,0.1532,0.1505,0.1261
