old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3066,0.4286,0.4007,0.3031,0.3598
2yr,0.1847,0.2404,0.2787,0.4181,0.2805
3yr,0.1603,0.1986,0.3136,0.3206,0.2483
4yr,0.2091,0.3031,0.2474,0.2927,0.2631
5yr,0.1916,0.1672,0.2613,0.3275,0.2369
6yr,0.1882,0.2056,0.2997,0.2718,0.2413
7yr,0.2056,0.2334,0.2683,0.3659,0.2683
8yr,0.3031,0.3310,0.3659,0.3345,0.3336
9yr,0.2404,0.3206,0.3345,0.4181,0.3284
10yr,0.3554,0.3415,0.4321,0.4704,0.3998
11yr,0.3554,0.3624,0.4216,0.4146,0.3885
12yr,0.3345,0.3659,0.3449,0.5087,0.3885
13yr,0.3554,0.3589,0.4216,0.4286,0.3911
14yr,0.4111,0.4425,0.4843,0.5714,0.4774
15yr,0.4007,0.4216,0.4251,0.5192,0.4416
avg,0.2801,0.3148,0.3533,0.3977,0.3365
