method,hybrid,none,oversampling,undersampling
Old,0.7142,0.7064,0.6824,0.7042
New,0.8518,0.8624,0.8314,0.8647
Retrain,0.8381,0.8439,0.8065,0.8416
Finetune,0.8395,0.8329,0.8129,0.8397
