split,method,sampling,tune_val_auc,tune_best_params
split_3+13,Finetune,oversampling,0.690129,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_3+13,Finetune,hybrid,0.721797,"{""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_4+12,Old,none,0.765561,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_4+12,Old,undersampling,0.757240,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_4+12,Old,oversampling,0.717531,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_4+12,Old,hybrid,0.730148,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_4+12,New,none,0.869007,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_4+12,New,undersampling,0.863332,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_4+12,New,oversampling,0.826412,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_4+12,New,hybrid,0.836376,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_4+12,Finetune,none,0.768011,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_4+12,Finetune,undersampling,0.759224,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_4+12,Finetune,oversampling,0.723800,"{""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_4+12,Finetune,hybrid,0.728958,"{""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_5+11,Old,none,0.781242,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_5+11,Old,undersampling,0.794410,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_5+11,Old,oversampling,0.747243,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_5+11,Old,hybrid,0.756154,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_5+11,New,none,0.877130,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_5+11,New,undersampling,0.869790,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_5+11,New,oversampling,0.818971,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_5+11,New,hybrid,0.832426,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_5+11,Finetune,none,0.780291,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_5+11,Finetune,undersampling,0.793534,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_5+11,Finetune,oversampling,0.747243,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_5+11,Finetune,hybrid,0.751543,"{""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_6+10,Old,none,0.793686,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_6+10,Old,undersampling,0.806143,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_6+10,Old,oversampling,0.757305,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_6+10,Old,hybrid,0.770630,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_6+10,New,none,0.879459,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_6+10,New,undersampling,0.875539,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_6+10,New,oversampling,0.835860,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_6+10,New,hybrid,0.846244,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_6+10,Finetune,none,0.818539,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_6+10,Finetune,undersampling,0.806963,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_6+10,Finetune,oversampling,0.757305,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_6+10,Finetune,hybrid,0.771953,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_7+9,Old,none,0.812440,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_7+9,Old,undersampling,0.816965,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_7+9,Old,oversampling,0.764015,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
