old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5716,0.5208,0.5755,0.5799,0.5619
2yr,0.5991,0.5720,0.5937,0.6287,0.5984
3yr,0.6114,0.6313,0.6260,0.6444,0.6283
4yr,0.6398,0.6550,0.6279,0.6429,0.6414
5yr,0.6604,0.6655,0.6299,0.6590,0.6537
6yr,0.6590,0.6582,0.6272,0.6610,0.6514
7yr,0.6920,0.6832,0.6527,0.6851,0.6782
8yr,0.6959,0.6903,0.6579,0.7144,0.6896
9yr,0.7313,0.7267,0.7068,0.7396,0.7261
10yr,0.7642,0.7685,0.7384,0.7689,0.7600
11yr,0.7795,0.7727,0.7315,0.7778,0.7654
12yr,0.7817,0.7828,0.7479,0.7961,0.7771
13yr,0.7857,0.7984,0.7612,0.7821,0.7819
14yr,0.8000,0.8050,0.7710,0.8146,0.7977
15yr,0.8249,0.8321,0.7885,0.8187,0.8161
avg,0.7064,0.7042,0.6824,0.7142,0.7018
