new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0578,0.0603,0.0890,0.1135,0.0802
14yr,0.0563,0.0599,0.0658,0.0744,0.0641
13yr,0.0468,0.0789,0.0934,0.1151,0.0835
12yr,0.0701,0.0549,0.0919,0.0632,0.0700
11yr,0.0554,0.0396,0.0607,0.0751,0.0577
10yr,0.0519,0.0666,0.0665,0.0930,0.0695
9yr,0.0763,0.0367,0.0604,0.0965,0.0675
8yr,0.0505,0.0675,0.0672,0.0673,0.0631
7yr,0.0417,0.0512,0.0469,0.0901,0.0575
6yr,0.0406,0.0311,0.0523,0.0556,0.0449
5yr,0.0562,0.0428,0.0537,0.0643,0.0542
4yr,0.0388,0.0158,0.0465,0.0530,0.0385
3yr,0.0286,0.0530,0.1023,0.0699,0.0634
2yr,0.0174,0.0263,0.0535,0.0519,0.0373
1yr,0.0270,0.1058,0.0130,0.0680,0.0535
avg,0.0477,0.0527,0.0642,0.0767,0.0603
