metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6410,0.6492,0.6344,0.6499
AUC,New,0.6529,0.6633,0.6491,0.6640
AUC,Retrain,0.6614,0.6645,0.6557,0.6638
F1,Old,0.2453,0.2513,0.2412,0.2492
F1,New,0.2556,0.2619,0.2558,0.2630
F1,Retrain,0.2618,0.2596,0.2571,0.2604
G_Mean,Old,0.5887,0.5912,0.5655,0.5954
G_Mean,New,0.5674,0.5881,0.5757,0.5842
G_Mean,Retrain,0.5926,0.6035,0.6038,0.5979
Recall,Old,0.5227,0.4983,0.4393,0.5315
Recall,New,0.4194,0.4689,0.4329,0.4476
Recall,Retrain,0.4698,0.5141,0.5238,0.4905
Precision,Old,0.1614,0.1689,0.1682,0.1636
Precision,New,0.1872,0.1849,0.1820,0.1874
Precision,Retrain,0.1814,0.1737,0.1704,0.1773
