metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.7142,0.7064,0.6824,0.7042
AUC,New,0.8518,0.8624,0.8314,0.8647
AUC,Retrain,0.8381,0.8439,0.8065,0.8416
AUC,Finetune,0.8395,0.8329,0.8129,0.8397
F1,Old,0.1101,0.1248,0.0983,0.1215
F1,New,0.2224,0.2679,0.2062,0.2669
F1,Retrain,0.2012,0.2452,0.1691,0.2312
F1,Finetune,0.1870,0.2082,0.1886,0.2164
G_Mean,Old,0.5782,0.4999,0.5440,0.5219
G_Mean,New,0.6898,0.6577,0.6219,0.6693
G_Mean,Retrain,0.6965,0.6359,0.6717,0.6708
G_Mean,Finetune,0.7065,0.6713,0.6634,0.6809
Recall,Old,0.3977,0.2801,0.3533,0.3148
Recall,New,0.5178,0.4592,0.4214,0.4774
Recall,Retrain,0.5331,0.4251,0.5052,0.4808
Recall,Finetune,0.5607,0.4927,0.4843,0.5036
Precision,Old,0.0644,0.0817,0.0578,0.0773
Precision,New,0.1431,0.1956,0.1432,0.1940
Precision,Retrain,0.1240,0.1723,0.1015,0.1521
Precision,Finetune,0.1125,0.1330,0.1179,0.1390
