old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5219,0.6322,0.3729,0.6373,0.5411
2yr,0.5035,0.4910,0.3752,0.4864,0.4640
3yr,0.5445,0.5814,0.4393,0.5113,0.5192
4yr,0.5358,0.5455,0.4984,0.5201,0.5249
5yr,0.4882,0.4892,0.5616,0.5482,0.5218
6yr,0.4172,0.4965,0.3484,0.4684,0.4326
7yr,0.4767,0.4845,0.4790,0.4873,0.4819
avg,0.4983,0.5315,0.4393,0.5227,0.4979
