new_years,none,undersampling,oversampling,hybrid,avg
7yr,0.6013,0.6039,0.5914,0.5963,0.5982
6yr,0.6009,0.5980,0.5826,0.5279,0.5774
5yr,0.6108,0.5791,0.5698,0.5948,0.5886
4yr,0.5891,0.5902,0.5613,0.5678,0.5771
3yr,0.5530,0.5674,0.5790,0.5628,0.5656
2yr,0.5519,0.5532,0.5840,0.5429,0.5580
1yr,0.6094,0.5978,0.5618,0.5797,0.5872
avg,0.5881,0.5842,0.5757,0.5674,0.5789
