old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0308,0.0266,0.0298,0.0316,0.0297
2yr,0.0434,0.0301,0.0328,0.0400,0.0366
3yr,0.0373,0.0356,0.0353,0.0390,0.0368
4yr,0.0505,0.0455,0.0410,0.0411,0.0446
5yr,0.0571,0.0565,0.0402,0.0467,0.0501
6yr,0.0534,0.0528,0.0402,0.0429,0.0473
7yr,0.0655,0.0653,0.0541,0.0502,0.0588
8yr,0.0583,0.0621,0.0472,0.0647,0.0581
9yr,0.0852,0.0748,0.0596,0.0634,0.0707
10yr,0.0897,0.1024,0.0679,0.0709,0.0827
11yr,0.1118,0.1020,0.0657,0.0877,0.0918
12yr,0.1139,0.1139,0.0742,0.0860,0.0970
13yr,0.1316,0.1212,0.0784,0.0979,0.1073
14yr,0.1345,0.1235,0.0857,0.0930,0.1092
15yr,0.1622,0.1468,0.1141,0.1102,0.1333
avg,0.0817,0.0773,0.0578,0.0644,0.0703
