new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2358,0.2435,0.1836,0.1819,0.2112
14yr,0.2477,0.2443,0.1870,0.2135,0.2231
13yr,0.2729,0.2297,0.1833,0.1830,0.2172
12yr,0.2361,0.2597,0.1938,0.2481,0.2344
11yr,0.2756,0.3142,0.2004,0.2400,0.2575
10yr,0.2749,0.2652,0.2199,0.2140,0.2435
9yr,0.2453,0.3014,0.2214,0.2116,0.2449
8yr,0.2827,0.2587,0.2342,0.2397,0.2539
7yr,0.2910,0.2772,0.2276,0.2141,0.2525
6yr,0.3045,0.3142,0.2321,0.2495,0.2751
5yr,0.2716,0.2869,0.2148,0.2381,0.2529
4yr,0.2610,0.2970,0.2341,0.2502,0.2606
3yr,0.2950,0.2585,0.1944,0.2353,0.2458
2yr,0.2596,0.2672,0.1926,0.2278,0.2368
1yr,0.2642,0.1854,0.1732,0.1888,0.2029
avg,0.2679,0.2669,0.2062,0.2224,0.2408
