new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4564,0.4878,0.4774,0.5749,0.4991
14yr,0.4739,0.4878,0.3868,0.4913,0.4599
13yr,0.4669,0.5575,0.4948,0.5854,0.5261
12yr,0.5261,0.4913,0.5192,0.5157,0.5131
11yr,0.5296,0.4948,0.3937,0.5645,0.4956
10yr,0.5052,0.5784,0.4669,0.5854,0.5340
9yr,0.5854,0.4495,0.4390,0.5958,0.5174
8yr,0.5122,0.5679,0.5052,0.5192,0.5261
7yr,0.4669,0.5052,0.3798,0.5714,0.4808
6yr,0.4843,0.4286,0.4181,0.4739,0.4512
5yr,0.5261,0.4669,0.3902,0.4983,0.4704
4yr,0.3937,0.2892,0.3902,0.4599,0.3833
3yr,0.3798,0.4774,0.5679,0.5226,0.4869
2yr,0.2578,0.3240,0.3449,0.4077,0.3336
1yr,0.3240,0.5540,0.1463,0.4007,0.3563
avg,0.4592,0.4774,0.4214,0.5178,0.4689
