ratio_new,method,AUC,F1
new_20,retrain,0.5529475824016263,0.0
new_20,ensemble_new_3,0.6043487730506751,0.0
new_20,DES_baseline,0.4974299404675475,0.0
new_20,DES_combined,0.47614345869028607,0.0
new_50,retrain,0.5529475824016263,0.0
new_50,ensemble_new_3,0.6043487730506751,0.0
new_50,DES_baseline,0.4974299404675475,0.0
new_50,DES_combined,0.47614345869028607,0.0
new_80,retrain,0.618629301582692,0.0
new_80,ensemble_new_3,0.6043487730506751,0.0
new_80,DES_baseline,0.4857412516335124,0.0
new_80,DES_combined,0.48980688253230725,0.0
