,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
retrain_none,0.506742782078873,0.0,0.0,0.0,0.0,0.0,1.0
retrain_undersampling,0.45063445037591887,0.0,0.0,0.0,0.0,0.0,1.0
retrain_oversampling,0.47357388412197093,0.0,0.0,0.0,0.0,0.0,1.0
retrain_hybrid,0.4865563598759049,0.0,0.0,0.0,0.0,0.0,1.0
finetune_none,0.613397523687079,0.0,0.0,0.0,0.0,0.0,1.0
finetune_undersampling,0.559001090024875,0.0,0.0,0.0,0.0,0.0,1.0
finetune_oversampling,0.588906900695939,0.0,0.0,0.0,0.0,0.0,1.0
finetune_hybrid,0.5845118645015233,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_old_3,0.5455574499007798,0.14774774774774774,0.5495005596289789,0.5540540540540541,0.08523908523908524,0.4550155118924509,0.44594594594594594
ensemble_new_3,0.5942312529696191,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_all_6,0.5454526398166522,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_2_old_hybrid_new_hybrid,0.5452709690041645,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_3_type_a,0.5346502138125716,0.14647887323943662,0.5086248489629538,0.35135135135135137,0.09252669039145907,0.26370217166494314,0.6486486486486487
ensemble_3_type_b,0.5483244361217474,0.0,0.0,0.0,0.0,0.0,1.0
