AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,threshold,method
0.6134165819660229,0.05357142857142857,0.2014900209601879,0.04225352112676056,0.07317073170731707,0.03917525773195876,0.9577464788732394,0.05,finetune_hybrid
0.6134165819660229,0.019801980198019802,0.11689064907862048,0.014084507042253521,0.03333333333333333,0.029896907216494847,0.9859154929577465,0.1,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.01958762886597938,1.0,0.15,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.01134020618556701,1.0,0.2,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.005154639175257732,1.0,0.25,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.002061855670103093,1.0,0.3,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0,0.35,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0,0.4,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0,0.45,finetune_hybrid
0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0,0.5,finetune_hybrid
0.5159503412225933,0.12769784172661872,0.0,1.0,0.06820365033621517,1.0,0.0,0.05,ensemble_old_3
0.5159503412225933,0.126012601260126,0.0,0.9859154929577465,0.0673076923076923,1.0,0.014084507042253521,0.1,ensemble_old_3
0.5159503412225933,0.12658227848101267,0.07128841857899176,0.9859154929577465,0.06763285024154589,0.9948453608247423,0.014084507042253521,0.15,ensemble_old_3
0.5159503412225933,0.12110091743119267,0.1276384104252517,0.9295774647887324,0.0647693817468106,0.9824742268041237,0.07042253521126761,0.2,ensemble_old_3
0.5159503412225933,0.12104283054003724,0.17378673578240791,0.9154929577464789,0.06480558325024925,0.9670103092783505,0.08450704225352113,0.25,ensemble_old_3
0.5159503412225933,0.12537917087967643,0.3203562703832466,0.8732394366197183,0.06753812636165578,0.8824742268041237,0.1267605633802817,0.3,ensemble_old_3
0.5159503412225933,0.125,0.39235469917001853,0.8028169014084507,0.06777645659928656,0.8082474226804124,0.19718309859154928,0.35,ensemble_old_3
0.5159503412225933,0.1245674740484429,0.42281390547633346,0.7605633802816901,0.0678391959798995,0.7649484536082474,0.23943661971830985,0.4,ensemble_old_3
0.5159503412225933,0.12287581699346405,0.4694995157254627,0.6619718309859155,0.06772334293948126,0.6670103092783505,0.3380281690140845,0.45,ensemble_old_3
0.5159503412225933,0.12607449856733524,0.49724082604723546,0.6197183098591549,0.07017543859649122,0.6010309278350515,0.38028169014084506,0.5,ensemble_old_3
0.6043487730506751,0.020833333333333332,0.11720078666026688,0.014084507042253521,0.04,0.024742268041237112,0.9859154929577465,0.05,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.020618556701030927,1.0,0.1,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.01958762886597938,1.0,0.15,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.01958762886597938,1.0,0.2,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.016494845360824743,1.0,0.25,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.009278350515463918,1.0,0.3,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.004123711340206186,1.0,0.35,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0,0.4,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0,0.45,ensemble_new_3
0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0,0.5,ensemble_new_3
0.5124727747930885,0.126012601260126,0.0,0.9859154929577465,0.0673076923076923,1.0,0.014084507042253521,0.05,ensemble_all_6
0.5124727747930885,0.12408759124087591,0.11329509059049908,0.9577464788732394,0.06634146341463415,0.98659793814433,0.04225352112676056,0.1,ensemble_all_6
0.5124727747930885,0.12474849094567404,0.3132521440700507,0.8732394366197183,0.06717226435536294,0.8876288659793814,0.1267605633802817,0.15,ensemble_all_6
0.5124727747930885,0.12814645308924486,0.42582524359911944,0.7887323943661971,0.06973848069738481,0.7701030927835052,0.2112676056338028,0.2,ensemble_all_6
0.5124727747930885,0.12446958981612447,0.49142494379957247,0.6197183098591549,0.06918238993710692,0.6103092783505155,0.38028169014084506,0.25,ensemble_all_6
0.5124727747930885,0.12341772151898735,0.5036818123426708,0.5492957746478874,0.06951871657754011,0.5381443298969072,0.4507042253521127,0.3,ensemble_all_6
0.5124727747930885,0.1252236135957066,0.5125830633513128,0.49295774647887325,0.07172131147540983,0.4670103092783505,0.5070422535211268,0.35,ensemble_all_6
0.5124727747930885,0.1306122448979592,0.5204682302913007,0.4507042253521127,0.07637231503579953,0.3989690721649485,0.5492957746478874,0.4,ensemble_all_6
0.5124727747930885,0.1336405529953917,0.5175025752088164,0.4084507042253521,0.07988980716253444,0.3443298969072165,0.5915492957746479,0.45,ensemble_all_6
0.5124727747930885,0.0,0.0,0.0,0.0,0.006185567010309278,1.0,0.5,ensemble_all_6
0.5726078118193698,0.0,0.0,0.0,0.0,0.013402061855670102,1.0,0.05,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0010309278350515464,1.0,0.1,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.15,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.2,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.25,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.3,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.35,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.4,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.45,cost_spw5
0.5726078118193698,0.0,0.0,0.0,0.0,0.0,1.0,0.5,cost_spw5
0.5539785102366779,0.0,0.0,0.0,0.0,0.013402061855670102,1.0,0.05,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.008247422680412371,1.0,0.1,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.15,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.2,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.25,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.3,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.35,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.4,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.45,cost_spw10
0.5539785102366779,0.0,0.0,0.0,0.0,0.0,1.0,0.5,cost_spw10
0.5462901118048498,0.056074766355140186,0.20202977553279006,0.04225352112676056,0.08333333333333333,0.03402061855670103,0.9577464788732394,0.05,cost_spw20
