AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,threshold,method
0.5462901118048498,0.0,0.0,0.0,0.0,0.005154639175257732,1.0,0.1,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0010309278350515464,1.0,0.15,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0010309278350515464,1.0,0.2,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0010309278350515464,1.0,0.25,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0010309278350515464,1.0,0.3,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0,1.0,0.35,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0,1.0,0.4,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0,1.0,0.45,cost_spw20
0.5462901118048498,0.0,0.0,0.0,0.0,0.0,1.0,0.5,cost_spw20
0.5894656599390156,0.09009009009009009,0.26054081426816955,0.07042253521126761,0.125,0.03608247422680412,0.9295774647887324,0.05,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.002061855670103093,1.0,0.1,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.15,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.2,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.25,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.3,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.35,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.4,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.45,cost_spw50
0.5894656599390156,0.0,0.0,0.0,0.0,0.0,1.0,0.5,cost_spw50
