new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6785,0.6792,0.6015,0.6518,0.6527
14yr,0.7071,0.6328,0.6048,0.6733,0.6545
13yr,0.6116,0.6690,0.6356,0.6568,0.6433
12yr,0.6992,0.6693,0.6636,0.5806,0.6532
11yr,0.6945,0.6721,0.6701,0.6918,0.6821
10yr,0.7016,0.6682,0.6064,0.6979,0.6685
9yr,0.6383,0.5812,0.6321,0.6479,0.6249
8yr,0.6235,0.6276,0.5218,0.6544,0.6068
7yr,0.5556,0.5563,0.5932,0.6367,0.5854
6yr,0.5808,0.6636,0.5911,0.6300,0.6164
5yr,0.5867,0.5789,0.6559,0.6352,0.6142
4yr,0.6198,0.6496,0.5972,0.6467,0.6283
3yr,0.5633,0.5614,0.5769,0.6977,0.5998
2yr,0.6659,0.5788,0.5772,0.5300,0.5880
1yr,0.6267,0.5515,0.5846,0.4852,0.5620
avg,0.6369,0.6226,0.6075,0.6344,0.6253
