old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0276,0.0205,0.0226,0.0233,0.0235
2yr,0.0245,0.0169,0.0288,0.0248,0.0237
3yr,0.0260,0.0367,0.0294,0.0305,0.0306
4yr,0.0507,0.0328,0.0267,0.0338,0.0360
5yr,0.0736,0.0443,0.0326,0.0359,0.0466
6yr,0.0394,0.0562,0.0330,0.0450,0.0434
7yr,0.0560,0.0543,0.0315,0.0377,0.0449
8yr,0.0474,0.0429,0.0309,0.0545,0.0439
9yr,0.0575,0.0369,0.0364,0.0510,0.0454
10yr,0.0450,0.0586,0.0299,0.0503,0.0460
11yr,0.0658,0.0413,0.0392,0.0477,0.0485
12yr,0.0471,0.0531,0.0356,0.0597,0.0489
13yr,0.0514,0.0430,0.0454,0.0519,0.0479
14yr,0.0501,0.0310,0.0614,0.0653,0.0520
15yr,0.0519,0.0518,0.0494,0.0635,0.0542
avg,0.0476,0.0413,0.0355,0.0450,0.0424
