old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5962,0.4268,0.5479,0.0909,0.4154
2yr,0.9322,0.2865,0.4194,0.2496,0.4719
3yr,0.7983,0.4073,0.5586,0.1910,0.4888
4yr,0.1762,0.4747,0.4743,0.1525,0.3194
5yr,0.1269,0.3817,0.2447,0.1991,0.2381
6yr,0.3396,0.2298,0.4250,0.1681,0.2906
7yr,0.1362,0.2469,0.3787,0.3643,0.2816
8yr,0.2212,0.3947,0.3917,0.2198,0.3069
9yr,0.2707,0.5163,0.3441,0.2945,0.3564
10yr,0.2847,0.2533,0.4785,0.1857,0.3006
11yr,0.1479,0.3560,0.3857,0.2348,0.2811
12yr,0.3273,0.2659,0.2729,0.1773,0.2609
13yr,0.2830,0.3696,0.2559,0.2195,0.2820
14yr,0.3083,0.5992,0.1912,0.1372,0.3090
15yr,0.3152,0.2562,0.1990,0.1843,0.2387
avg,0.3509,0.3643,0.3712,0.2046,0.3228
