new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1845,0.2303,0.1692,0.1648,0.1872
14yr,0.2244,0.1091,0.1862,0.1440,0.1659
13yr,0.1546,0.1080,0.1718,0.1030,0.1343
12yr,0.1230,0.1314,0.1846,0.0786,0.1294
11yr,0.1662,0.1416,0.1686,0.1252,0.1504
10yr,0.1974,0.1399,0.0980,0.1527,0.1470
9yr,0.1338,0.0588,0.1312,0.1394,0.1158
8yr,0.1484,0.0656,0.0915,0.1222,0.1069
7yr,0.0371,0.0345,0.0561,0.1120,0.0599
6yr,0.0415,0.0908,0.0965,0.0739,0.0757
5yr,0.0499,0.0661,0.1366,0.0955,0.0870
4yr,0.0494,0.0683,0.0861,0.0839,0.0719
3yr,0.0515,0.0275,0.0636,0.1159,0.0646
2yr,0.0975,0.0384,0.0624,0.0404,0.0597
1yr,0.0447,0.0191,0.0659,0.0349,0.0412
avg,0.1136,0.0886,0.1179,0.1058,0.1065
