old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5345,0.4623,0.4893,0.2870,0.4433
2yr,0.2576,0.3830,0.5490,0.4458,0.4088
3yr,0.4241,0.6198,0.5588,0.4505,0.5133
4yr,0.5695,0.5944,0.5346,0.4347,0.5333
5yr,0.6067,0.6758,0.5104,0.4984,0.5728
6yr,0.6199,0.6634,0.5904,0.5248,0.5996
7yr,0.5403,0.6679,0.5660,0.6154,0.5974
8yr,0.5985,0.6686,0.5638,0.6428,0.6184
9yr,0.7093,0.6320,0.5971,0.6834,0.6555
10yr,0.6335,0.7012,0.5671,0.5786,0.6201
11yr,0.6092,0.6426,0.6360,0.6131,0.6252
12yr,0.6743,0.6766,0.5536,0.6221,0.6317
13yr,0.6780,0.6612,0.6153,0.6258,0.6451
14yr,0.6855,0.5668,0.6502,0.5880,0.6226
15yr,0.7028,0.6598,0.5883,0.6529,0.6510
avg,0.5896,0.6184,0.5713,0.5509,0.5825
