old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5775,0.4893,0.5082,0.5107,0.5214
2yr,0.6983,0.4337,0.5590,0.5402,0.5578
3yr,0.6249,0.6521,0.5983,0.6051,0.6201
4yr,0.6553,0.6536,0.5440,0.5768,0.6074
5yr,0.7094,0.7237,0.5776,0.6337,0.6611
6yr,0.7000,0.7655,0.6437,0.6630,0.6930
7yr,0.6484,0.7426,0.6151,0.6706,0.6692
8yr,0.6551,0.7247,0.5960,0.7275,0.6758
9yr,0.7632,0.7114,0.6586,0.7538,0.7218
10yr,0.6984,0.7664,0.6084,0.7027,0.6940
11yr,0.6872,0.7023,0.6863,0.7076,0.6958
12yr,0.7435,0.7476,0.6026,0.7228,0.7041
13yr,0.7484,0.7421,0.6951,0.6925,0.7195
14yr,0.7564,0.6423,0.7353,0.7156,0.7124
15yr,0.7709,0.7237,0.6853,0.7527,0.7331
avg,0.6958,0.6814,0.6209,0.6650,0.6658
