new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5645,0.5993,0.4355,0.5087,0.5270
14yr,0.6446,0.4495,0.4495,0.5296,0.5183
13yr,0.4425,0.5017,0.4878,0.4808,0.4782
12yr,0.5575,0.5157,0.5401,0.3659,0.4948
11yr,0.5784,0.5261,0.5401,0.5470,0.5479
10yr,0.6132,0.5192,0.4077,0.5749,0.5287
9yr,0.4704,0.3589,0.4599,0.4878,0.4443
8yr,0.4564,0.4216,0.2997,0.4878,0.4164
7yr,0.3206,0.3206,0.3728,0.4564,0.3676
6yr,0.3519,0.4843,0.3868,0.4286,0.4129
5yr,0.3624,0.3589,0.4983,0.4460,0.4164
4yr,0.4042,0.4530,0.3902,0.4564,0.4260
3yr,0.3345,0.3240,0.3554,0.5505,0.3911
2yr,0.4913,0.3484,0.3554,0.2927,0.3720
1yr,0.4111,0.3101,0.3659,0.2439,0.3328
avg,0.4669,0.4328,0.4230,0.4571,0.4449
