,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
retrain_none,0.8644544111730643,0.13472101763515468,0.7828978365025979,0.8118466898954704,0.07345523329129887,0.24501875781575658,0.18815331010452963
retrain_undersampling,0.8632731698602641,0.1341927922648696,0.7779463238421757,0.7979094076655052,0.07325655790147152,0.24151729887453105,0.20209059233449478
retrain_hybrid,0.8046903980026522,0.13363705391040243,0.7086951102432456,0.6132404181184669,0.0749893481039625,0.18099208003334724,0.3867595818815331
