,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
retrain_none,0.664743403433454,0.2528445006321112,0.612426337676272,0.5999077065066912,0.16017742730409068,0.37479379742659186,0.4000922934933087
retrain_undersampling,0.6657866660211298,0.25464139144029707,0.6145330390134868,0.6012921089063221,0.16152225114664684,0.3719344550753327,0.3987078910936779
retrain_hybrid,0.6615326444460922,0.16690442225392296,0.3249468968337424,0.10798338717120443,0.3673469387755102,0.02215990322225888,0.8920166128287955
