dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O6 + N10,split_6+10,Dynamic_DES_KNN,hybrid,,,0.8194,0.1601,0.5819
O6 + N10,split_6+10,Dynamic_KNORA_E,all6,,,0.8056,0.1683,0.4983
O6 + N10,split_6+10,Dynamic_KNORA_U,all6,,,0.8334,0.1959,0.4983
O6 + N10,split_6+10,Dynamic_DES_KNN,all6,,,0.8332,0.1953,0.5122
O7 + N9,split_7+9,Dynamic_KNORA_E,under,,,0.8168,0.1918,0.4390
O7 + N9,split_7+9,Dynamic_KNORA_U,under,,,0.8462,0.2032,0.5122
O7 + N9,split_7+9,Dynamic_DES_KNN,under,,,0.8462,0.2104,0.5052
O7 + N9,split_7+9,Dynamic_KNORA_E,over,,,0.7856,0.1604,0.4390
O7 + N9,split_7+9,Dynamic_KNORA_U,over,,,0.7973,0.1651,0.4704
O7 + N9,split_7+9,Dynamic_DES_KNN,over,,,0.7972,0.1605,0.4983
O7 + N9,split_7+9,Dynamic_KNORA_E,hybrid,,,0.8101,0.1723,0.4181
O7 + N9,split_7+9,Dynamic_KNORA_U,hybrid,,,0.8229,0.1789,0.4390
O7 + N9,split_7+9,Dynamic_DES_KNN,hybrid,,,0.8214,0.1786,0.4425
O7 + N9,split_7+9,Dynamic_KNORA_E,all6,,,0.8124,0.1650,0.5087
O7 + N9,split_7+9,Dynamic_KNORA_U,all6,,,0.8356,0.2037,0.5192
O7 + N9,split_7+9,Dynamic_DES_KNN,all6,,,0.8361,0.2068,0.4878
O8 + N8,split_8+8,Dynamic_KNORA_E,under,,,0.8072,0.2064,0.4251
O8 + N8,split_8+8,Dynamic_KNORA_U,under,,,0.8347,0.2148,0.4564
O8 + N8,split_8+8,Dynamic_DES_KNN,under,,,0.8347,0.2197,0.4634
O8 + N8,split_8+8,Dynamic_KNORA_E,over,,,0.7887,0.1609,0.4460
O8 + N8,split_8+8,Dynamic_KNORA_U,over,,,0.8100,0.1629,0.4808
O8 + N8,split_8+8,Dynamic_DES_KNN,over,,,0.8096,0.1686,0.4704
O8 + N8,split_8+8,Dynamic_KNORA_E,hybrid,,,0.8172,0.1798,0.4878
O8 + N8,split_8+8,Dynamic_KNORA_U,hybrid,,,0.8268,0.1856,0.5122
O8 + N8,split_8+8,Dynamic_DES_KNN,hybrid,,,0.8257,0.1789,0.5017
O8 + N8,split_8+8,Dynamic_KNORA_E,all6,,,0.8030,0.1968,0.4077
O8 + N8,split_8+8,Dynamic_KNORA_U,all6,,,0.8387,0.1919,0.5366
O8 + N8,split_8+8,Dynamic_DES_KNN,all6,,,0.8392,0.1930,0.5296
O9 + N7,split_9+7,Dynamic_KNORA_E,under,,,0.8248,0.2167,0.4564
O9 + N7,split_9+7,Dynamic_KNORA_U,under,,,0.8497,0.2400,0.5122
O9 + N7,split_9+7,Dynamic_DES_KNN,under,,,0.8496,0.2380,0.5017
O9 + N7,split_9+7,Dynamic_KNORA_E,over,,,0.7959,0.1706,0.4042
O9 + N7,split_9+7,Dynamic_KNORA_U,over,,,0.8138,0.1762,0.4355
O9 + N7,split_9+7,Dynamic_DES_KNN,over,,,0.8127,0.1634,0.4634
O9 + N7,split_9+7,Dynamic_KNORA_E,hybrid,,,0.8330,0.1830,0.5296
O9 + N7,split_9+7,Dynamic_KNORA_U,hybrid,,,0.8364,0.1842,0.5540
O9 + N7,split_9+7,Dynamic_DES_KNN,hybrid,,,0.8354,0.1952,0.4913
O9 + N7,split_9+7,Dynamic_KNORA_E,all6,,,0.8178,0.1489,0.5261
O9 + N7,split_9+7,Dynamic_KNORA_U,all6,,,0.8481,0.2152,0.5087
O9 + N7,split_9+7,Dynamic_DES_KNN,all6,,,0.8481,0.2051,0.4948
O10 + N6,split_10+6,Dynamic_KNORA_E,under,,,0.8556,0.2285,0.4808
O10 + N6,split_10+6,Dynamic_KNORA_U,under,,,0.8582,0.2316,0.4774
O10 + N6,split_10+6,Dynamic_DES_KNN,under,,,0.8581,0.2308,0.4878
O10 + N6,split_10+6,Dynamic_KNORA_E,over,,,0.8175,0.1719,0.4634
O10 + N6,split_10+6,Dynamic_KNORA_U,over,,,0.8139,0.1700,0.5261
O10 + N6,split_10+6,Dynamic_DES_KNN,over,,,0.8141,0.1709,0.5401
O10 + N6,split_10+6,Dynamic_KNORA_E,hybrid,,,0.8383,0.1938,0.5645
O10 + N6,split_10+6,Dynamic_KNORA_U,hybrid,,,0.8359,0.1879,0.5679
O10 + N6,split_10+6,Dynamic_DES_KNN,hybrid,,,0.8367,0.1921,0.5540
O10 + N6,split_10+6,Dynamic_KNORA_E,all6,,,0.8418,0.1811,0.5540
O10 + N6,split_10+6,Dynamic_KNORA_U,all6,,,0.8496,0.1891,0.5854
O10 + N6,split_10+6,Dynamic_DES_KNN,all6,,,0.8508,0.2254,0.4739
O11 + N5,split_11+5,Dynamic_KNORA_E,under,,,0.8397,0.2135,0.4739
O11 + N5,split_11+5,Dynamic_KNORA_U,under,,,0.8494,0.2161,0.4948
O11 + N5,split_11+5,Dynamic_DES_KNN,under,,,0.8491,0.2140,0.5017
O11 + N5,split_11+5,Dynamic_KNORA_E,over,,,0.7984,0.1598,0.4530
O11 + N5,split_11+5,Dynamic_KNORA_U,over,,,0.8134,0.1661,0.4808
O11 + N5,split_11+5,Dynamic_DES_KNN,over,,,0.8123,0.1651,0.4634
O11 + N5,split_11+5,Dynamic_KNORA_E,hybrid,,,0.8439,0.1757,0.5854
O11 + N5,split_11+5,Dynamic_KNORA_U,hybrid,,,0.8398,0.1705,0.5958
O11 + N5,split_11+5,Dynamic_DES_KNN,hybrid,,,0.8397,0.1775,0.5575
O11 + N5,split_11+5,Dynamic_KNORA_E,all6,,,0.8384,0.1759,0.5401
O11 + N5,split_11+5,Dynamic_KNORA_U,all6,,,0.8517,0.2168,0.5122
O11 + N5,split_11+5,Dynamic_DES_KNN,all6,,,0.8523,0.2172,0.4983
O12 + N4,split_12+4,Dynamic_KNORA_E,under,,,0.8468,0.2231,0.5192
O12 + N4,split_12+4,Dynamic_KNORA_U,under,,,0.8486,0.2193,0.5261
O12 + N4,split_12+4,Dynamic_DES_KNN,under,,,0.8488,0.2174,0.5192
O12 + N4,split_12+4,Dynamic_KNORA_E,over,,,0.8054,0.1775,0.4251
O12 + N4,split_12+4,Dynamic_KNORA_U,over,,,0.8132,0.1826,0.4564
O12 + N4,split_12+4,Dynamic_DES_KNN,over,,,0.8119,0.1841,0.4530
O12 + N4,split_12+4,Dynamic_KNORA_E,hybrid,,,0.8437,0.1837,0.6063
O12 + N4,split_12+4,Dynamic_KNORA_U,hybrid,,,0.8479,0.2020,0.5401
O12 + N4,split_12+4,Dynamic_DES_KNN,hybrid,,,0.8476,0.1965,0.5610
O12 + N4,split_12+4,Dynamic_KNORA_E,all6,,,0.8374,0.1833,0.5575
O12 + N4,split_12+4,Dynamic_KNORA_U,all6,,,0.8516,0.2135,0.4843
O12 + N4,split_12+4,Dynamic_DES_KNN,all6,,,0.8521,0.2211,0.4704
O13 + N3,split_13+3,Dynamic_KNORA_E,under,,,0.8465,0.2332,0.4669
O13 + N3,split_13+3,Dynamic_KNORA_U,under,,,0.8610,0.2365,0.4948
O13 + N3,split_13+3,Dynamic_DES_KNN,under,,,0.8595,0.2296,0.5157
O13 + N3,split_13+3,Dynamic_KNORA_E,over,,,0.8250,0.2017,0.4460
O13 + N3,split_13+3,Dynamic_KNORA_U,over,,,0.8261,0.1963,0.4564
O13 + N3,split_13+3,Dynamic_DES_KNN,over,,,0.8253,0.1923,0.4634
O13 + N3,split_13+3,Dynamic_KNORA_E,hybrid,,,0.8335,0.1875,0.5366
O13 + N3,split_13+3,Dynamic_KNORA_U,hybrid,,,0.8379,0.1797,0.5331
O13 + N3,split_13+3,Dynamic_DES_KNN,hybrid,,,0.8370,0.1725,0.5575
O13 + N3,split_13+3,Dynamic_KNORA_E,all6,,,0.8437,0.1873,0.5854
O13 + N3,split_13+3,Dynamic_KNORA_U,all6,,,0.8548,0.2440,0.4983
O13 + N3,split_13+3,Dynamic_DES_KNN,all6,,,0.8548,0.2043,0.5679
O14 + N2,split_14+2,Dynamic_KNORA_E,under,,,0.8436,0.2308,0.5017
O14 + N2,split_14+2,Dynamic_KNORA_U,under,,,0.8663,0.2359,0.5331
O14 + N2,split_14+2,Dynamic_DES_KNN,under,,,0.8655,0.2355,0.5157
O14 + N2,split_14+2,Dynamic_KNORA_E,over,,,0.8314,0.1923,0.4669
O14 + N2,split_14+2,Dynamic_KNORA_U,over,,,0.8297,0.1876,0.4843
O14 + N2,split_14+2,Dynamic_DES_KNN,over,,,0.8291,0.1975,0.4111
O14 + N2,split_14+2,Dynamic_KNORA_E,hybrid,,,0.8410,0.1821,0.5854
O14 + N2,split_14+2,Dynamic_KNORA_U,hybrid,,,0.8484,0.1952,0.5679
O14 + N2,split_14+2,Dynamic_DES_KNN,hybrid,,,0.8476,0.1830,0.6272
O14 + N2,split_14+2,Dynamic_KNORA_E,all6,,,0.8529,0.2210,0.4983
O14 + N2,split_14+2,Dynamic_KNORA_U,all6,,,0.8639,0.2161,0.5505
O14 + N2,split_14+2,Dynamic_DES_KNN,all6,,,0.8639,0.2024,0.6098
O15 + N1,split_15+1,Dynamic_KNORA_E,under,,,0.8497,0.2129,0.5366
O15 + N1,split_15+1,Dynamic_KNORA_U,under,,,0.8691,0.2332,0.5192
O15 + N1,split_15+1,Dynamic_DES_KNN,under,,,0.8691,0.2558,0.5017
O15 + N1,split_15+1,Dynamic_KNORA_E,over,,,0.8172,0.1739,0.4843
O15 + N1,split_15+1,Dynamic_KNORA_U,over,,,0.8322,0.1777,0.5679
O15 + N1,split_15+1,Dynamic_DES_KNN,over,,,0.8315,0.1772,0.5401
O15 + N1,split_15+1,Dynamic_KNORA_E,hybrid,,,0.8297,0.1914,0.5819
O15 + N1,split_15+1,Dynamic_KNORA_U,hybrid,,,0.8333,0.1863,0.5923
O15 + N1,split_15+1,Dynamic_DES_KNN,hybrid,,,0.8316,0.1888,0.5645
O15 + N1,split_15+1,Dynamic_KNORA_E,all6,,,0.8387,0.1930,0.5296
O15 + N1,split_15+1,Dynamic_KNORA_U,all6,,,0.8640,0.1965,0.5923
O15 + N1,split_15+1,Dynamic_DES_KNN,all6,,,0.8638,0.2214,0.5052
