dataset,ensemble,type,subset,subset_indices,F1
O1 + N15,Dynamic_KNORA_E,under,,,0.2375
O1 + N15,Dynamic_KNORA_E,over,,,0.1604
O1 + N15,Dynamic_KNORA_E,hybrid,,,0.1965
O1 + N15,Dynamic_KNORA_E,all6,,,0.2132
O1 + N15,Dynamic_KNORA_U,under,,,0.2356
O1 + N15,Dynamic_KNORA_U,over,,,0.1451
O1 + N15,Dynamic_KNORA_U,hybrid,,,0.2046
O1 + N15,Dynamic_KNORA_U,all6,,,0.2093
O1 + N15,Dynamic_DES_KNN,under,,,0.2350
O1 + N15,Dynamic_DES_KNN,over,,,0.1481
O1 + N15,Dynamic_DES_KNN,hybrid,,,0.1950
O1 + N15,Dynamic_DES_KNN,all6,,,0.2256
O2 + N14,Dynamic_KNORA_E,under,,,0.1905
O2 + N14,Dynamic_KNORA_E,over,,,0.1482
O2 + N14,Dynamic_KNORA_E,hybrid,,,0.1480
O2 + N14,Dynamic_KNORA_E,all6,,,0.1843
O2 + N14,Dynamic_KNORA_U,under,,,0.1706
O2 + N14,Dynamic_KNORA_U,over,,,0.1385
O2 + N14,Dynamic_KNORA_U,hybrid,,,0.1620
O2 + N14,Dynamic_KNORA_U,all6,,,0.1774
O2 + N14,Dynamic_DES_KNN,under,,,0.1917
O2 + N14,Dynamic_DES_KNN,over,,,0.1478
O2 + N14,Dynamic_DES_KNN,hybrid,,,0.1602
O2 + N14,Dynamic_DES_KNN,all6,,,0.1897
O3 + N13,Dynamic_KNORA_E,under,,,0.1934
O3 + N13,Dynamic_KNORA_E,over,,,0.1523
O3 + N13,Dynamic_KNORA_E,hybrid,,,0.1648
O3 + N13,Dynamic_KNORA_E,all6,,,0.1944
O3 + N13,Dynamic_KNORA_U,under,,,0.2066
O3 + N13,Dynamic_KNORA_U,over,,,0.1505
O3 + N13,Dynamic_KNORA_U,hybrid,,,0.1610
O3 + N13,Dynamic_KNORA_U,all6,,,0.1939
O3 + N13,Dynamic_DES_KNN,under,,,0.2066
O3 + N13,Dynamic_DES_KNN,over,,,0.1618
O3 + N13,Dynamic_DES_KNN,hybrid,,,0.1642
