dataset,ensemble,type,subset,subset_indices,Recall
O1 + N15,Dynamic_KNORA_E,under,,,0.3902
O1 + N15,Dynamic_KNORA_E,over,,,0.4216
O1 + N15,Dynamic_KNORA_E,hybrid,,,0.4704
O1 + N15,Dynamic_KNORA_E,all6,,,0.4216
O1 + N15,Dynamic_KNORA_U,under,,,0.3624
O1 + N15,Dynamic_KNORA_U,over,,,0.4425
O1 + N15,Dynamic_KNORA_U,hybrid,,,0.4913
O1 + N15,Dynamic_KNORA_U,all6,,,0.4251
O1 + N15,Dynamic_DES_KNN,under,,,0.3693
O1 + N15,Dynamic_DES_KNN,over,,,0.4321
O1 + N15,Dynamic_DES_KNN,hybrid,,,0.4739
O1 + N15,Dynamic_DES_KNN,all6,,,0.4111
O2 + N14,Dynamic_KNORA_E,under,,,0.4286
O2 + N14,Dynamic_KNORA_E,over,,,0.4181
O2 + N14,Dynamic_KNORA_E,hybrid,,,0.5401
O2 + N14,Dynamic_KNORA_E,all6,,,0.3693
O2 + N14,Dynamic_KNORA_U,under,,,0.4425
O2 + N14,Dynamic_KNORA_U,over,,,0.4321
O2 + N14,Dynamic_KNORA_U,hybrid,,,0.4251
O2 + N14,Dynamic_KNORA_U,all6,,,0.3902
O2 + N14,Dynamic_DES_KNN,under,,,0.4286
O2 + N14,Dynamic_DES_KNN,over,,,0.3937
O2 + N14,Dynamic_DES_KNN,hybrid,,,0.4913
O2 + N14,Dynamic_DES_KNN,all6,,,0.3972
O3 + N13,Dynamic_KNORA_E,under,,,0.4181
O3 + N13,Dynamic_KNORA_E,over,,,0.4321
O3 + N13,Dynamic_KNORA_E,hybrid,,,0.4948
O3 + N13,Dynamic_KNORA_E,all6,,,0.4390
O3 + N13,Dynamic_KNORA_U,under,,,0.4251
O3 + N13,Dynamic_KNORA_U,over,,,0.4460
O3 + N13,Dynamic_KNORA_U,hybrid,,,0.5157
O3 + N13,Dynamic_KNORA_U,all6,,,0.4530
O3 + N13,Dynamic_DES_KNN,under,,,0.4251
O3 + N13,Dynamic_DES_KNN,over,,,0.3972
O3 + N13,Dynamic_DES_KNN,hybrid,,,0.4774
O3 + N13,Dynamic_DES_KNN,all6,,,0.4669
O4 + N12,Dynamic_KNORA_E,under,,,0.4251
O4 + N12,Dynamic_KNORA_E,over,,,0.5261
O4 + N12,Dynamic_KNORA_E,hybrid,,,0.4634
O4 + N12,Dynamic_KNORA_E,all6,,,0.4216
O4 + N12,Dynamic_KNORA_U,under,,,0.4495
O4 + N12,Dynamic_KNORA_U,over,,,0.5714
O4 + N12,Dynamic_KNORA_U,hybrid,,,0.4564
O4 + N12,Dynamic_KNORA_U,all6,,,0.5157
O4 + N12,Dynamic_DES_KNN,under,,,0.4564
O4 + N12,Dynamic_DES_KNN,over,,,0.5505
O4 + N12,Dynamic_DES_KNN,hybrid,,,0.4913
O4 + N12,Dynamic_DES_KNN,all6,,,0.4739
O5 + N11,Dynamic_KNORA_E,under,,,0.4634
O5 + N11,Dynamic_KNORA_E,over,,,0.4181
O5 + N11,Dynamic_KNORA_E,hybrid,,,0.6237
O5 + N11,Dynamic_KNORA_E,all6,,,0.4948
O5 + N11,Dynamic_KNORA_U,under,,,0.5087
O5 + N11,Dynamic_KNORA_U,over,,,0.4321
O5 + N11,Dynamic_KNORA_U,hybrid,,,0.5749
O5 + N11,Dynamic_KNORA_U,all6,,,0.5017
O5 + N11,Dynamic_DES_KNN,under,,,0.5157
O5 + N11,Dynamic_DES_KNN,over,,,0.4599
O5 + N11,Dynamic_DES_KNN,hybrid,,,0.6899
O5 + N11,Dynamic_DES_KNN,all6,,,0.4774
O6 + N10,Dynamic_KNORA_E,under,,,0.4460
O6 + N10,Dynamic_KNORA_E,over,,,0.4181
O6 + N10,Dynamic_KNORA_E,hybrid,,,0.5610
O6 + N10,Dynamic_KNORA_E,all6,,,0.4983
O6 + N10,Dynamic_KNORA_U,under,,,0.4843
O6 + N10,Dynamic_KNORA_U,over,,,0.4669
O6 + N10,Dynamic_KNORA_U,hybrid,,,0.6167
