dataset_name,split_id,old_window,new_window,test_window,method,train_scope,best_ensemble_size,best_subset,AUC,F1,Recall
Bankruptcy_US,split_1+15,1999~1999,2000~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_E,0.7871,0.2375,0.3902
Bankruptcy_US,split_2+14,1999~2000,2001~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_DES_KNN,0.7866,0.1917,0.4286
Bankruptcy_US,split_3+13,1999~2001,2002~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_U,0.8238,0.2066,0.4251
Bankruptcy_US,split_4+12,1999~2002,2003~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_U,0.8436,0.2179,0.4495
Bankruptcy_US,split_5+11,1999~2003,2004~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_DES_KNN,0.8544,0.2357,0.5157
Bankruptcy_US,split_6+10,1999~2004,2005~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_U,0.8445,0.2356,0.4843
Bankruptcy_US,split_7+9,1999~2005,2006~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_DES_KNN,0.8462,0.2104,0.5052
Bankruptcy_US,split_8+8,1999~2006,2007~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_DES_KNN,0.8347,0.2197,0.4634
Bankruptcy_US,split_9+7,1999~2007,2008~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_U,0.8497,0.2400,0.5122
Bankruptcy_US,split_10+6,1999~2008,2009~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_U,0.8582,0.2316,0.4774
Bankruptcy_US,split_11+5,1999~2009,2010~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,all6,Dynamic_DES_KNN,0.8523,0.2172,0.4983
Bankruptcy_US,split_12+4,1999~2010,2011~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_E,0.8468,0.2231,0.5192
Bankruptcy_US,split_13+3,1999~2011,2012~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,all6,Dynamic_KNORA_U,0.8548,0.2440,0.4983
Bankruptcy_US,split_14+2,1999~2012,2013~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_KNORA_U,0.8663,0.2359,0.5331
Bankruptcy_US,split_15+1,1999~2013,2014~2014,2015~2018,DynamicDES,Old/New pools + dynamic selection,under,Dynamic_DES_KNN,0.8691,0.2558,0.5017
