dataset,ensemble,type,subset,subset_indices,AUC
O9 + N7,Dynamic_DES_KNN,over,,,0.8127
O9 + N7,Dynamic_DES_KNN,hybrid,,,0.8354
O9 + N7,Dynamic_DES_KNN,all6,,,0.8481
O10 + N6,Dynamic_KNORA_E,under,,,0.8556
O10 + N6,Dynamic_KNORA_E,over,,,0.8175
O10 + N6,Dynamic_KNORA_E,hybrid,,,0.8383
O10 + N6,Dynamic_KNORA_E,all6,,,0.8418
O10 + N6,Dynamic_KNORA_U,under,,,0.8582
O10 + N6,Dynamic_KNORA_U,over,,,0.8139
O10 + N6,Dynamic_KNORA_U,hybrid,,,0.8359
O10 + N6,Dynamic_KNORA_U,all6,,,0.8496
O10 + N6,Dynamic_DES_KNN,under,,,0.8581
O10 + N6,Dynamic_DES_KNN,over,,,0.8141
O10 + N6,Dynamic_DES_KNN,hybrid,,,0.8367
O10 + N6,Dynamic_DES_KNN,all6,,,0.8508
O11 + N5,Dynamic_KNORA_E,under,,,0.8397
O11 + N5,Dynamic_KNORA_E,over,,,0.7984
O11 + N5,Dynamic_KNORA_E,hybrid,,,0.8439
O11 + N5,Dynamic_KNORA_E,all6,,,0.8384
O11 + N5,Dynamic_KNORA_U,under,,,0.8494
O11 + N5,Dynamic_KNORA_U,over,,,0.8134
O11 + N5,Dynamic_KNORA_U,hybrid,,,0.8398
O11 + N5,Dynamic_KNORA_U,all6,,,0.8517
O11 + N5,Dynamic_DES_KNN,under,,,0.8491
O11 + N5,Dynamic_DES_KNN,over,,,0.8123
O11 + N5,Dynamic_DES_KNN,hybrid,,,0.8397
O11 + N5,Dynamic_DES_KNN,all6,,,0.8523
O12 + N4,Dynamic_KNORA_E,under,,,0.8468
O12 + N4,Dynamic_KNORA_E,over,,,0.8054
O12 + N4,Dynamic_KNORA_E,hybrid,,,0.8437
O12 + N4,Dynamic_KNORA_E,all6,,,0.8374
O12 + N4,Dynamic_KNORA_U,under,,,0.8486
O12 + N4,Dynamic_KNORA_U,over,,,0.8132
O12 + N4,Dynamic_KNORA_U,hybrid,,,0.8479
O12 + N4,Dynamic_KNORA_U,all6,,,0.8516
O12 + N4,Dynamic_DES_KNN,under,,,0.8488
O12 + N4,Dynamic_DES_KNN,over,,,0.8119
O12 + N4,Dynamic_DES_KNN,hybrid,,,0.8476
O12 + N4,Dynamic_DES_KNN,all6,,,0.8521
O13 + N3,Dynamic_KNORA_E,under,,,0.8465
O13 + N3,Dynamic_KNORA_E,over,,,0.8250
O13 + N3,Dynamic_KNORA_E,hybrid,,,0.8335
O13 + N3,Dynamic_KNORA_E,all6,,,0.8437
O13 + N3,Dynamic_KNORA_U,under,,,0.8610
O13 + N3,Dynamic_KNORA_U,over,,,0.8261
O13 + N3,Dynamic_KNORA_U,hybrid,,,0.8379
O13 + N3,Dynamic_KNORA_U,all6,,,0.8548
O13 + N3,Dynamic_DES_KNN,under,,,0.8595
O13 + N3,Dynamic_DES_KNN,over,,,0.8253
O13 + N3,Dynamic_DES_KNN,hybrid,,,0.8370
O13 + N3,Dynamic_DES_KNN,all6,,,0.8548
O14 + N2,Dynamic_KNORA_E,under,,,0.8436
O14 + N2,Dynamic_KNORA_E,over,,,0.8314
O14 + N2,Dynamic_KNORA_E,hybrid,,,0.8410
O14 + N2,Dynamic_KNORA_E,all6,,,0.8529
O14 + N2,Dynamic_KNORA_U,under,,,0.8663
O14 + N2,Dynamic_KNORA_U,over,,,0.8297
O14 + N2,Dynamic_KNORA_U,hybrid,,,0.8484
O14 + N2,Dynamic_KNORA_U,all6,,,0.8639
O14 + N2,Dynamic_DES_KNN,under,,,0.8655
O14 + N2,Dynamic_DES_KNN,over,,,0.8291
O14 + N2,Dynamic_DES_KNN,hybrid,,,0.8476
O14 + N2,Dynamic_DES_KNN,all6,,,0.8639
O15 + N1,Dynamic_KNORA_E,under,,,0.8497
O15 + N1,Dynamic_KNORA_E,over,,,0.8172
O15 + N1,Dynamic_KNORA_E,hybrid,,,0.8297
O15 + N1,Dynamic_KNORA_E,all6,,,0.8387
O15 + N1,Dynamic_KNORA_U,under,,,0.8691
O15 + N1,Dynamic_KNORA_U,over,,,0.8322
O15 + N1,Dynamic_KNORA_U,hybrid,,,0.8333
O15 + N1,Dynamic_KNORA_U,all6,,,0.8640
O15 + N1,Dynamic_DES_KNN,under,,,0.8691
O15 + N1,Dynamic_DES_KNN,over,,,0.8315
O15 + N1,Dynamic_DES_KNN,hybrid,,,0.8316
O15 + N1,Dynamic_DES_KNN,all6,,,0.8638
avg,Dynamic_KNORA_E,under,,,0.8247
avg,Dynamic_KNORA_E,over,,,0.7951
avg,Dynamic_KNORA_E,hybrid,,,0.8186
avg,Dynamic_KNORA_E,all6,,,0.8204
avg,Dynamic_KNORA_U,under,,,0.8413
avg,Dynamic_KNORA_U,over,,,0.8024
avg,Dynamic_KNORA_U,hybrid,,,0.8229
avg,Dynamic_KNORA_U,all6,,,0.8378
avg,Dynamic_DES_KNN,under,,,0.8412
avg,Dynamic_DES_KNN,over,,,0.8023
avg,Dynamic_DES_KNN,hybrid,,,0.8229
avg,Dynamic_DES_KNN,all6,,,0.8388
