retrain_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6398,0.6212,0.6302,0.6183,0.6274
2yr,,,,,
3yr,,,,,
avg,0.6398,0.6212,0.6302,0.6183,0.6274
