old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5843,0.5127,0.5356,0.5547,0.5468
2yr,0.6140,0.5851,0.5974,0.5810,0.5944
3yr,0.6168,0.6369,0.6035,0.6387,0.6240
avg,0.6050,0.5782,0.5788,0.5915,0.5884
