retrain_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0792,0.0799,0.0686,0.0840,0.0779
2yr,,,,,
3yr,,,,,
avg,0.0792,0.0799,0.0686,0.0840,0.0779
