new_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3729,0.3534,0.3977,0.4354,0.3898
2yr,0.3314,0.3610,0.3816,0.3726,0.3617
3yr,0.4111,0.4076,0.4127,0.4408,0.4180
avg,0.3718,0.3740,0.3974,0.4162,0.3898
