old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0560,0.0421,0.0481,0.0648,0.0527
2yr,0.0705,0.0579,0.0718,0.0697,0.0675
3yr,0.0766,0.0856,0.0711,0.0831,0.0791
avg,0.0677,0.0619,0.0637,0.0725,0.0664
