retrain_years,none,undersampling,oversampling,hybrid,avg
1yr,0.8820,0.8803,0.7130,0.7940,0.8173
2yr,,,,,
3yr,,,,,
avg,0.8820,0.8803,0.7130,0.7940,0.8173
