old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6937,0.8275,0.7606,0.9278,0.8024
2yr,0.9225,0.9683,0.8222,0.9032,0.9040
3yr,0.9067,0.8820,0.8046,0.7764,0.8424
avg,0.8410,0.8926,0.7958,0.8691,0.8496
