retrain_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3342,0.3366,0.4934,0.4336,0.3994
2yr,,,,,
3yr,,,,,
avg,0.3342,0.3366,0.4934,0.4336,0.3994
