test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method,pool_size
2009,2010,2008,2009,B_model_FIFO2_equal,3857,58,3743,23,0.00614480363345,0.1,0.0387563668191,0.853976999392,0.129131015834,0.205714285714,0.549779410182,0.310344827586,0.153846153846,0.642142669123,0.18941553032,0.0260594893393,0.689655172414,0.448275862069,0.13,0.0458015267176,200,0.841409537167,0.0398285975541,0.121212121212,0.414837030135,0.173913043478,0.093023255814,0.581714586255,0.114118991267,0.0104838709677,0.826086956522,0.217391304348,0.0467289719626,0.0274193548387,107,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2010,2011,2009,2010,B_model_FIFO2_equal,3743,23,3625,35,0.00965517241379,0.21,0.0132886981592,0.834654043946,0.0995618055531,0.228571428571,0.416580168675,0.173913043478,0.333333333333,0.585881252922,0.225307198761,0.00215053763441,0.826086956522,0.347826086957,0.0412371134021,0.05,194,0.832120970951,0.121012822425,0.142857142857,0.29260687335,0.0857142857143,0.428571428571,0.542300039793,0.140089615182,0.00111420612813,0.914285714286,0.228571428571,0.0579710144928,0.0362116991643,138,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2011,2012,2010,2011,B_model_FIFO2_equal,3625,35,3513,25,0.00711642470823,0.06,0.017511408776,0.812009550338,0.0998393626129,0.140350877193,0.337213128438,0.114285714286,0.181818181818,0.554635893355,0.133895701782,0.0050139275766,0.885714285714,0.2,0.0843373493976,0.0211699164345,83,0.906857798165,0.158390860156,0.137931034483,0.398333685207,0.16,0.121212121212,0.575842889908,0.130893005581,0.00831422018349,0.84,0.28,0.0795454545455,0.0232224770642,88,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2012,2013,2011,2012,B_model_FIFO2_equal,3513,25,3485,26,0.00746054519369,0.09,0.00517473835498,0.929713302752,0.170464473271,0.228571428571,0.399655815224,0.16,0.4,0.579139908257,0.225421583439,0.00172018348624,0.84,0.52,0.0738636363636,0.0467316513761,176,0.87038272511,0.233054349399,0.311111111111,0.517973697161,0.269230769231,0.368421052632,0.632880779238,0.306743584643,0.00346921075455,0.730769230769,0.5,0.0653266331658,0.0537727666956,199,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2013,2014,2012,2013,B_model_FIFO2_equal,3485,26,3484,28,0.00803673938002,0.18,0.00631425529718,0.897435897436,0.285193097845,0.333333333333,0.480106621912,0.230769230769,0.6,0.614806413592,0.330558668161,0.00115640358485,0.769230769231,0.576923076923,0.111940298507,0.0344030066493,134,0.821604249339,0.0717121944675,0.117647058824,0.267106532063,0.0714285714286,0.333333333333,0.535135582011,0.115137148662,0.00115740740741,0.928571428571,0.321428571429,0.0692307692308,0.0350115740741,130,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2014,2015,2013,2014,B_model_FIFO2_equal,3484,28,3504,33,0.00941780821918,0.04,0.00577730685472,0.825365823413,0.0975997669882,0.137931034483,0.376540047548,0.142857142857,0.133333333333,0.567666997354,0.130703820512,0.00752314814815,0.857142857143,0.392857142857,0.0859375,0.0338541666667,128,0.857538217089,0.0688789462781,0.13698630137,0.387281991575,0.151515151515,0.125,0.570715801053,0.127986348123,0.0100835494094,0.848484848485,0.30303030303,0.0704225352113,0.038029386344,142,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2015,2016,2014,2015,B_model_FIFO2_equal,3504,33,3354,33,0.00983899821109,0.02,0.00378551078029,0.885161031228,0.0863412129425,0.164948453608,0.488377976061,0.242424242424,0.125,0.613145281685,0.15444015444,0.016133679055,0.757575757576,0.454545454545,0.0824175824176,0.0481129357534,182,0.903041252635,0.173716930825,0.194690265487,0.571321020549,0.333333333333,0.1375,0.656278229449,0.183312729783,0.0207768744354,0.666666666667,0.636363636364,0.0929203539823,0.0617283950617,226,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2016,2017,2015,2016,B_model_FIFO2_equal,3354,33,3191,29,0.00908806016923,0.08,0.00925642531365,0.892429260993,0.177053078719,0.324324324324,0.600384025726,0.363636363636,0.292682926829,0.677452027046,0.316876451179,0.00873230954532,0.636363636364,0.454545454545,0.103448275862,0.0391448358928,145,0.868699426378,0.267334741341,0.344827586207,0.585453300604,0.344827586207,0.344827586207,0.669409365526,0.338818731052,0.00600885515497,0.655172413793,0.48275862069,0.128440366972,0.0300442757748,109,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2017,2018,2016,2017,B_model_FIFO2_equal,3191,29,3014,21,0.00696748506967,0.15,0.00812966376543,0.865842221204,0.1324799385,0.25,0.414833258317,0.172413793103,0.454545454545,0.585258129948,0.246232342798,0.00189753320683,0.827586206897,0.379310344828,0.095652173913,0.0328905755851,115,0.880960336022,0.13750717404,0.171428571429,0.377269278172,0.142857142857,0.214285714286,0.569590950313,0.166784236716,0.00367524223187,0.857142857143,0.333333333333,0.0625,0.0350818576679,112,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2018,2019,2017,2018,B_model_FIFO2_equal,3014,21,2723,36,0.0132207124495,0.04,0.00516951503232,0.866688940862,0.141104991089,0.243902439024,0.486725772515,0.238095238095,0.25,0.616541772071,0.238727654929,0.00501169395256,0.761904761905,0.428571428571,0.0687022900763,0.0407617774808,131,0.848085431915,0.196538552274,0.293333333333,0.549883169992,0.305555555556,0.282051282051,0.647567506099,0.283481533336,0.0104205433569,0.694444444444,0.416666666667,0.126050420168,0.0387048753256,119,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
2009,2010,2008,2009,B_model_FIFO3_equal,3857,58,3743,23,0.00614480363345,0.07,0.0378263480961,0.857480643727,0.129904431267,0.21164021164,0.578577859536,0.344827586207,0.152671755725,0.657804685444,0.194856376711,0.0292182153198,0.655172413793,0.396551724138,0.114427860697,0.0468544353777,201,0.833730715288,0.0346049010916,0.106666666667,0.414329584036,0.173913043478,0.0769230769231,0.580504908836,0.098989340107,0.0129032258065,0.826086956522,0.173913043478,0.0412371134021,0.025,97,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2010,2011,2009,2010,B_model_FIFO3_equal,3743,23,3625,35,0.00965517241379,0.2,0.0167332757264,0.847755960729,0.0733671461324,0.205128205128,0.416355657654,0.173913043478,0.25,0.585343618513,0.20110024029,0.00322580645161,0.826086956522,0.304347826087,0.0380434782609,0.0475806451613,184,0.832900915241,0.123482188589,0.139534883721,0.292566072001,0.0857142857143,0.375,0.542160764027,0.136432411551,0.00139275766017,0.914285714286,0.171428571429,0.047619047619,0.033426183844,126,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2011,2012,2010,2011,B_model_FIFO3_equal,3625,35,3513,25,0.00711642470823,0.06,0.0115366009995,0.830202944688,0.111907366882,0.161290322581,0.376804584878,0.142857142857,0.185185185185,0.568364504576,0.154177510545,0.00612813370474,0.857142857143,0.257142857143,0.0661764705882,0.0353760445682,136,0.897993119266,0.110763059385,0.179104477612,0.487363248286,0.24,0.142857142857,0.614839449541,0.171714443716,0.0103211009174,0.76,0.48,0.0740740740741,0.043004587156,162,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2012,2013,2011,2012,B_model_FIFO3_equal,3513,25,3485,26,0.00746054519369,0.08,0.00734832882881,0.918348623853,0.187102536169,0.260869565217,0.488843420645,0.24,0.285714285714,0.617849770642,0.256035578145,0.0043004587156,0.76,0.56,0.0833333333333,0.0441513761468,168,0.892587897792,0.231257288255,0.280701754386,0.552852930614,0.307692307692,0.258064516129,0.65052149354,0.274816908843,0.00664932061289,0.692307692308,0.5,0.0604651162791,0.058398381035,215,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2013,2014,2012,2013,B_model_FIFO3_equal,3485,26,3484,28,0.00803673938002,0.12,0.00918670278043,0.893644227989,0.297711770914,0.363636363636,0.553897794248,0.307692307692,0.444444444444,0.652400649365,0.359728091126,0.00289100896213,0.692307692308,0.538461538462,0.115702479339,0.0309337958948,121,0.855944113757,0.0857760485863,0.111111111111,0.267029143526,0.0714285714286,0.25,0.534846230159,0.107924721547,0.00173611111111,0.928571428571,0.25,0.0642201834862,0.0295138888889,109,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2014,2015,2013,2014,B_model_FIFO3_equal,3484,28,3504,33,0.00941780821918,0.02,0.00464493548498,0.843357308201,0.0811802401004,0.120481927711,0.419509153528,0.178571428571,0.0909090909091,0.582051917989,0.111013240496,0.0144675925926,0.821428571429,0.5,0.0833333333333,0.0445601851852,168,0.866329675318,0.0635358445208,0.14,0.456568140458,0.212121212121,0.10447761194,0.59741756371,0.129008202834,0.0172860847018,0.787878787879,0.333333333333,0.0635838150289,0.0466724286949,173,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2015,2016,2014,2015,B_model_FIFO3_equal,3504,33,3354,33,0.00983899821109,0.02,0.00403287354857,0.892773892774,0.0771755280453,0.163265306122,0.488306465998,0.242424242424,0.123076923077,0.613001230979,0.152679724685,0.0164217804667,0.757575757576,0.454545454545,0.0824175824176,0.0481129357534,182,0.89629812123,0.168293389952,0.214285714286,0.596908811007,0.363636363636,0.151898734177,0.671730858723,0.20322648569,0.0201746461909,0.636363636364,0.636363636364,0.0954545454545,0.0599217103282,220,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
2016,2017,2015,2016,B_model_FIFO3_equal,3354,33,3191,29,0.00908806016923,0.09,0.00852233916521,0.900823957735,0.190631894849,0.315789473684,0.600201621339,0.363636363636,0.279069767442,0.677150912923,0.308085977482,0.00933453778982,0.636363636364,0.545454545455,0.105882352941,0.0457693465824,170,0.852417719034,0.279638203132,0.321428571429,0.555498117673,0.310344827586,0.333333333333,0.652326113983,0.315429345678,0.00569259962049,0.689655172414,0.48275862069,0.107692307692,0.0366856419987,130,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
