method,n_predictions,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method,pool_size
B_model_FIFO1_equal,33636,0.845029973697,0.096580165906,0.165631469979,0.371172628567,0.138408304498,0.20618556701,0.566895098961,0.159832592623,0.0046181065763,0.861591695502,0.391003460208,0.0735677083333,0.0426725042732,1536,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
B_model_FIFO2_equal,33636,0.852865999681,0.117761175038,0.200333889816,0.453933917513,0.207612456747,0.193548387097,0.600057765244,0.193158481758,0.00749692626023,0.792387543253,0.377162629758,0.0795620437956,0.0378144960566,1370,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,2
B_model_FIFO3_equal,33636,0.857592124253,0.121487045644,0.191653786708,0.461116688942,0.214532871972,0.173184357542,0.60282825564,0.183894017546,0.00887636069212,0.785467128028,0.401384083045,0.0762656147272,0.0421327255825,1521,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
B_model_FIFO5_equal,33636,0.862615428021,0.124804769715,0.164556962025,0.422327649772,0.179930795848,0.151603498542,0.58560218684,0.156692180486,0.00872642216691,0.820069204152,0.42214532872,0.0806345009914,0.0417128977119,1513,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
