pool_size,method,PR_AUC,AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,delta_PR_AUC_vs_pool1,delta_AUC_vs_pool1,delta_F1_vs_pool1,delta_G_Mean_vs_pool1,delta_Recall_vs_pool1,delta_Precision_vs_pool1,delta_Balanced_Accuracy_vs_pool1,delta_Recall_at_5pctFPR_vs_pool1,delta_Precision_at_5pctFPR_vs_pool1,delta_Realized_FPR_at_5pctFPR_vs_pool1
1,B_model_FIFO1_equal,0.096580165906,0.845029973697,0.165631469979,0.371172628567,0.138408304498,0.20618556701,0.566895098961,0.391003460208,0.0735677083333,0.0426725042732,0,0,0,0,0,0,0,0,0,0
2,B_model_FIFO2_equal,0.117761175038,0.852865999681,0.200333889816,0.453933917513,0.207612456747,0.193548387097,0.600057765244,0.377162629758,0.0795620437956,0.0378144960566,0.021181009132,0.007836025984,0.034702419837,0.082761288946,0.069204152249,-0.012637179913,0.033162666283,-0.01384083045,0.0059943354623,-0.0048580082166
3,B_model_FIFO3_equal,0.121487045644,0.857592124253,0.191653786708,0.461116688942,0.214532871972,0.173184357542,0.60282825564,0.401384083045,0.0762656147272,0.0421327255825,0.024906879738,0.012562150556,0.026022316729,0.089944060375,0.076124567474,-0.033001209468,0.035933156679,0.010380622837,0.0026979063939,-0.0005397786907
5,B_model_FIFO5_equal,0.124804769715,0.862615428021,0.164556962025,0.422327649772,0.179930795848,0.151603498542,0.58560218684,0.42214532872,0.0806345009914,0.0417128977119,0.028224603809,0.017585454324,-0.001074507954,0.051155021205,0.04152249135,-0.054582068468,0.018707087879,0.031141868512,0.0070667926581,-0.0009596065613
