test_feature_year,test_event_year,validation_feature_year,latest_train_feature_year,recent3_years,b_model_end_years,b_model_added_end_years,b_model_removed_end_years,b_model_union_years,b_data_old_years,b_data_new_years,pool_size,ensemble_weights,imbalance_method,test_used_for_selection,seed,protocol_version
2009,2010,2008,2007,"2005,2006,2007","2006,2007","2006,2007",,2004-2007,"2005,2006",2007,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2010,2011,2009,2008,"2006,2007,2008","2007,2008",2008,2006,2005-2008,"2006,2007",2008,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2011,2012,2010,2009,"2007,2008,2009","2008,2009",2009,2007,2006-2009,"2007,2008",2009,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2012,2013,2011,2010,"2008,2009,2010","2009,2010",2010,2008,2007-2010,"2008,2009",2010,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2013,2014,2012,2011,"2009,2010,2011","2010,2011",2011,2009,2008-2011,"2009,2010",2011,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2014,2015,2013,2012,"2010,2011,2012","2011,2012",2012,2010,2009-2012,"2010,2011",2012,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2015,2016,2014,2013,"2011,2012,2013","2012,2013",2013,2011,2010-2013,"2011,2012",2013,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2016,2017,2015,2014,"2012,2013,2014","2013,2014",2014,2012,2011-2014,"2012,2013",2014,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2017,2018,2016,2015,"2013,2014,2015","2014,2015",2015,2013,2012-2015,"2013,2014",2015,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
2018,2019,2017,2016,"2014,2015,2016","2015,2016",2016,2014,2013-2016,"2014,2015",2016,2,equal,tomek,False,42,study3b_overlap_event_target_v1_financial18_exploratory
