test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method
2012,2013,2011,2012,B_data_equal,3513,25,3485,26,0.00746054519369,0.06,0.00594181660563,0.87994266055,0.189522971144,0.260869565217,0.488843420645,0.24,0.285714285714,0.617849770642,0.256035578145,0.0043004587156,0.76,0.52,0.0718232044199,0.0481651376147,181,0.911079235884,0.231472238594,0.31746031746,0.617748478752,0.384615384615,0.27027027027,0.688404830209,0.311426221448,0.00780572419775,0.615384615385,0.615384615385,0.078431372549,0.054350968488,204,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2012,2013,2011,2012,B_model_FIFO3_equal,3513,25,3485,26,0.00746054519369,0.09,0.0074448552914,0.901009174312,0.159629220504,0.19512195122,0.399311333779,0.16,0.25,0.578279816514,0.190626461779,0.00344036697248,0.84,0.64,0.0958083832335,0.0432912844037,167,0.904763493228,0.219955925402,0.244897959184,0.479202530998,0.230769230769,0.260869565217,0.612927257767,0.239572091597,0.00491471523562,0.769230769231,0.461538461538,0.0641711229947,0.0505926568372,187,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2013,2014,2012,2013,Recent3y,3485,26,3484,28,0.00803673938002,0.1,0.019694333896,0.874241110147,0.286888906304,0.444444444444,0.619366330005,0.384615384615,0.526315789474,0.691006738275,0.44092224568,0.00260190806592,0.615384615385,0.461538461538,0.214285714286,0.0127204394334,56,0.777860449735,0.0882164897078,0.136363636364,0.326710623257,0.107142857143,0.1875,0.551690641534,0.131286089239,0.00376157407407,0.892857142857,0.178571428571,0.116279069767,0.0109953703704,43,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2013,2014,2012,2013,B_data_equal,3485,26,3484,28,0.00803673938002,0.06,0.00738512724638,0.902328374141,0.189208458244,0.259259259259,0.517297049325,0.269230769231,0.25,0.631579825205,0.253483564857,0.00607111882047,0.730769230769,0.538461538462,0.0903225806452,0.040763226366,155,0.832806299603,0.0531498549307,0.102564102564,0.266913018648,0.0714285714286,0.181818181818,0.534412202381,0.0984770072453,0.00260416666667,0.928571428571,0.25,0.0534351145038,0.0358796296296,131,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2013,2014,2012,2013,B_model_FIFO3_equal,3485,26,3484,28,0.00803673938002,0.04,0.00540440669283,0.887795494474,0.278536540947,0.379310344828,0.648466169362,0.423076923077,0.34375,0.708502902128,0.374158211368,0.00607111882047,0.576923076923,0.576923076923,0.0877192982456,0.0450997398092,171,0.864955357143,0.15001099523,0.214285714286,0.461434314918,0.214285714286,0.214285714286,0.603959986772,0.207919973545,0.00636574074074,0.785714285714,0.321428571429,0.0588235294118,0.0416666666667,153,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2014,2015,2013,2014,Recent3y,3484,28,3504,33,0.00941780821918,0.06,0.00294417422265,0.841610863095,0.0902829263032,0.212765957447,0.421720344472,0.178571428571,0.263157894737,0.587260251323,0.207617221116,0.00405092592593,0.821428571429,0.357142857143,0.0549450549451,0.0497685185185,182,0.850955536349,0.0758548280143,0.173913043478,0.424554730951,0.181818181818,0.166666666667,0.586587569734,0.165714285714,0.00864304235091,0.818181818182,0.454545454545,0.0773195876289,0.0515701526937,194,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2014,2015,2013,2014,B_data_equal,3484,28,3504,33,0.00941780821918,0.07,0.0120737794787,0.81017485119,0.144039417483,0.243902439024,0.422087750098,0.178571428571,0.384615384615,0.588128306878,0.240029271862,0.00231481481481,0.821428571429,0.357142857143,0.10752688172,0.0240162037037,93,0.857730284697,0.0768021769535,0.194444444444,0.458438234291,0.212121212121,0.179487179487,0.601450983473,0.186140945241,0.0092192451743,0.787878787879,0.272727272727,0.0833333333333,0.028522039758,108,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2014,2015,2013,2014,B_model_FIFO3_equal,3484,28,3504,33,0.00941780821918,0.07,0.00407136045396,0.845320767196,0.0940230747369,0.227272727273,0.421904087279,0.178571428571,0.3125,0.587694279101,0.222729658793,0.00318287037037,0.821428571429,0.357142857143,0.0549450549451,0.0497685185185,182,0.864522493736,0.0729071006156,0.0740740740741,0.245508263538,0.0606060606061,0.0952380952381,0.527566066892,0.0672416546877,0.00547392682224,0.939393939394,0.424242424242,0.0736842105263,0.0507058484587,190,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2015,2016,2014,2015,Recent3y,3504,33,3354,33,0.00983899821109,0.01,0.00300982268527,0.891368307099,0.0895786024393,0.178217821782,0.517775491022,0.272727272727,0.132352941176,0.627864644719,0.167662614191,0.0169979832901,0.727272727273,0.424242424242,0.0891719745223,0.0411985018727,157,0.856094823574,0.155819977039,0.179104477612,0.594887565578,0.363636363636,0.118811881188,0.668418603378,0.166745714479,0.0267991568805,0.636363636364,0.484848484848,0.0776699029126,0.0572116832279,206,42,study3b_overlap_event_target_v1_financial18_exploratory,none
2015,2016,2014,2015,B_data_equal,3504,33,3354,33,0.00983899821109,0.12,0.00490298680961,0.864033594371,0.0702003162829,0.175438596491,0.388182648586,0.151515151515,0.208333333333,0.573020612346,0.168846899225,0.00547392682224,0.848484848485,0.393939393939,0.070652173913,0.0492653414002,184,0.86582172219,0.198799599888,0.229508196721,0.459107705856,0.212121212121,0.25,0.602898907777,0.222485277145,0.0063233965673,0.787878787879,0.575757575758,0.0805084745763,0.0653417645288,236,42,study3b_overlap_event_target_v1_financial18_exploratory,none
