method,boundary_source,drift_start_year,old_window,new_window,combo,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,delta_vs_fixed_AUC,delta_vs_fixed_F1,delta_vs_fixed_Recall,delta_vs_fixed_Precision
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,pair_hy,0.816357,0.202981,0.676455,0.498258,0.127451,0.081617,0.501742,0.000000,0.000000,0.000000,0.000000
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,all6,0.823873,0.185980,0.644916,0.452962,0.117012,0.081784,0.547038,0.007516,-0.017001,-0.045296,-0.010439
